timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,filtered_acc_mag,jerk
0,0.84,1.8,9.7,-0.01,-0.0,0.01,-19.35,-77.24,-36.5,9.90129284487637,9.901846880991986,-0.31481152547479496
7,0.84,1.78,9.7,-0.01,-0.0,0.01,-18.99,-77.32,-36.12,9.897676495016391,9.900333364042588,-0.3130582695239923
14,0.83,1.8,9.7,-0.01,-0.0,0.01,-19.25,-77.46,-35.88,9.900449484745629,9.898828276208338,-0.3055146026133855
21,0.84,1.79,9.68,-0.01,-0.0,0.01,-18.88,-77.67,-35.84,9.87988360255322,9.897359456003466,-0.2924863806751432
28,0.84,1.81,9.69,-0.01,-0.0,0.01,-18.74,-77.46,-36.28,9.893320979327417,9.89595327148099,-0.2744238747664838
35,0.84,1.77,9.66,-0.01,-0.0,0.01,-18.82,-77.97,-35.36,9.856677939346502,9.894633925929227,-0.2519049118522787
42,0.84,1.75,9.67,-0.01,-0.0,0.01,-19.99,-76.38,-30.66,9.862910320995525,9.893422844622245,-0.22561343521260824
49,0.85,1.75,9.67,-0.0,-0.0,0.0,-18.91,-77.87,-35.53,9.863767028878977,9.892338164645262,-0.19631445767112154
56,0.85,1.75,9.69,0.0,0.0,0.0,-19.16,-77.8,-35.22,9.883374929648271,9.891394345137227,-0.1648267172757869
63,0.87,1.75,9.69,0.0,0.0,0.0,-18.84,-77.62,-35.25,9.88511507267366,9.890601908996478,-0.13199445580335123
70,0.86,1.75,9.68,0.0,0.0,0.0,-19.18,-77.73,-35.43,9.874436692794175,9.889967320266654,-0.09865956330096992
77,0.85,1.74,9.67,0.0,0.0,0.01,-19.41,-77.43,-35.43,9.861997769214916,9.889492995443092,-0.06563504892713468
84,0.85,1.76,9.68,0.01,0.0,0.01,-18.72,-77.35,-35.65,9.875348095130622,9.88917744232325,-0.033680658689007714
91,0.86,1.79,9.68,0.01,0.0,0.01,-19.09,-77.07,-35.94,9.881604120789296,9.889015516079553,-0.0034815032882420383
98,0.84,1.79,9.69,0.01,0.0,0.01,-18.72,-77.14,-36.2,9.889681491332263,9.888998778082975,0.02436941050450514
105,0.85,1.83,9.7,0.01,0.0,0.01,-18.82,-77.36,-35.65,9.90764351397445,9.8891159387104,0.04938402326149571
112,0.82,1.81,9.7,0.01,0.0,0.01,-18.52,-77.14,-36.09,9.901439289315467,9.889353361899158,0.07118710179778986
119,0.83,1.8,9.71,0.01,0.0,0.01,-18.8,-77.16,-35.63,9.91024722194154,9.889695607580878,0.08951927943576266
126,0.84,1.81,9.7,0.01,0.0,0.01,-19.01,-77.55,-35.06,9.903115671343034,9.890125988732011,0.10423578273056933
133,0.84,1.82,9.69,0.01,0.0,0.01,-18.77,-77.38,-33.5,9.89515538028585,9.890627122302831,0.11530160257765942
140,0.84,1.81,9.7,0.01,0.0,0.01,-19.37,-75.96,-30.84,9.903115671343034,9.891181456930608,0.12278391231083674
