timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,filtered_acc_mag,jerk
0,0.73,1.51,9.77,-0.04,-0.08,-0.04,1.93,-0.94,-91.22,9.912915817255788,9.898640425124919,1.5331843746582763
7,0.67,1.46,9.74,-0.06,-0.06,0.05,1.34,-0.72,-90.92,9.871580420581092,9.906011503849237,1.4849748879944684
14,0.49,1.3,9.72,-0.07,-0.05,0.14,1.61,-0.85,-91.57,9.818783020313669,9.913150806195365,1.422748441803094
21,0.37,1.23,9.73,-0.07,-0.05,0.14,1.05,-1.07,-91.49,9.81441287087516,9.919990942934803,1.3500383361433705
28,0.11,1.13,9.78,-0.06,-0.03,0.18,1.05,-0.83,-91.49,9.845679255389136,9.926481511858569,1.2707984591714307
35,0.04,1.09,9.81,-0.05,-0.02,0.18,0.13,1.53,-87.62,9.870450850898353,9.932591119835354,1.1893167816246546
42,-0.08,1.09,9.92,-0.04,-0.02,0.14,0.54,-0.64,-91.77,9.980025050068765,9.93830898897778,1.1101124398781508
49,-0.08,1.14,9.94,-0.04,-0.02,0.14,1.24,-0.37,-91.92,10.005478499302267,9.943646068015656,1.0378128051154363
56,-0.0,1.3,10.03,-0.03,-0.02,0.09,1.4,-0.12,-91.23,10.11389638072291,9.948635552655634,0.9770089679920488
63,0.06,1.38,10.06,-0.02,-0.02,0.07,1.59,-0.7,-90.3,10.154388213969368,9.953332711155596,0.9320910253121895
70,0.16,1.53,10.11,-0.02,-0.01,0.06,1.74,-0.63,-90.68,10.226367879164137,9.957813918008059,0.907067970199364
77,0.2,1.6,10.12,-0.02,-0.01,0.06,1.52,-0.32,-90.37,10.247653389922982,9.96217482171094,0.9053804296893873
84,0.25,1.61,10.05,-0.04,-0.01,0.07,1.59,-0.73,-86.26,10.181213090786382,9.966527612238293,0.9297174758937103
91,0.26,1.57,10.01,-0.07,-0.0,0.09,0.6,1.72,-90.06,10.135709151312502,9.970997407795474,0.9818505962552422
98,0.28,1.43,9.9,-0.09,0.0,0.11,1.56,-0.56,-90.46,10.006662780367888,9.975717843354394,1.062497977493905
105,0.28,1.38,9.84,-0.09,0.0,0.11,1.67,-0.44,-90.47,9.940241445759757,9.98082600670773,1.1712302643743158
112,0.25,1.29,9.78,-0.09,0.01,0.12,1.68,-0.15,-91.08,9.867877177995275,9.986456921440299,1.3064252609606513
119,0.23,1.26,9.79,-0.08,0.01,0.13,1.34,-0.2,-91.03,9.873428988958192,9.992737812117994,1.4652745392026532
126,0.18,1.27,9.78,-0.07,0.01,0.14,1.3,-1.26,-91.54,9.86375689075922,9.999782401248776,1.643840679927024
133,0.18,1.27,9.78,-0.07,0.01,0.14,1.39,-1.05,-86.38,9.86375689075922,10.007685481440733,1.837160688687618
140,0.17,1.33,9.79,-0.06,0.01,0.16,1.13,-0.94,-91.9,9.881391602400948,10.016517984751731,2.039389203257798
147,0.15,1.33,9.81,-0.05,0.01,0.18,0.89,0.1,-91.96,9.900883798934316,10.026322740536624,2.243974169720417
154,0.15,1.36,9.83,-0.04,0.01,0.21,1.2,0.31,-91.45,9.924766999783923,10.03711107789105,2.4438573676885937
161,0.16,1.37,9.85,-0.04,0.01,0.21,1.42,0.04,-92.25,9.946104765183202,10.048860392158783,2.6316923023666448
168,0.19,1.36,9.87,-0.05,0.01,0.23,1.52,0.18,-91.77,9.96506899123132,10.061512758997084,2.800072397589531
