timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,filtered_acc_mag,jerk
0,0.14,0.5,9.91,-0.07,-0.05,-0.12,-0.13,4.59,-84.68,9.923593099276088,9.932230732372577,1.491761335261799
7,0.14,0.45,9.84,-0.09,-0.05,-0.14,0.0,3.24,-85.65,9.85127910476604,9.939402661869028,1.3420784999773332
14,0.18,0.43,9.77,-0.1,-0.05,-0.16,0.07,3.57,-86.25,9.781114455929854,9.945854962349689,1.1759576054797378
21,0.25,0.36,9.67,-0.1,-0.05,-0.16,0.06,3.03,-86.26,9.6799276856803,9.951508604683726,0.9953329853520643
28,0.3,0.34,9.65,-0.1,-0.06,-0.18,-0.34,3.68,-86.26,9.660646976264063,9.956293859420995,0.8023018840796112
35,0.39,0.38,9.64,-0.08,-0.07,-0.2,-0.53,3.84,-84.19,9.65536638351958,9.960151080017532,0.5991790034289011
42,0.44,0.41,9.71,-0.04,-0.08,-0.22,-1.46,5.66,-81.86,9.728607300122668,9.963031748303248,0.38855359127668976
49,0.57,0.53,9.83,-0.04,-0.08,-0.22,0.1,3.84,-86.47,9.860765690350826,9.964899794415155,0.17333439083526514
56,0.63,0.58,9.91,-0.01,-0.09,-0.23,0.06,4.12,-85.78,9.946929174373366,9.965733132832632,-0.04323160984395713
63,0.74,0.69,10.08,0.01,-0.1,-0.23,0.2,3.76,-86.44,10.13065150915774,9.965525288554536,-0.2575775505306126
70,0.82,0.71,10.15,0.01,-0.1,-0.22,0.03,3.64,-86.25,10.207791142063988,9.964286934946216,-0.46587794413318306
77,0.9,0.7,10.23,0.01,-0.1,-0.22,-0.5,4.18,-86.16,10.29334250863149,9.962047137137883,-0.6641522112279858
84,0.99,0.68,10.23,-0.02,-0.1,-0.21,0.01,3.36,-86.09,10.300262132586724,9.958854097660826,-0.8484035069252229
91,1.01,0.6,10.15,-0.05,-0.09,-0.2,-0.51,5.64,-81.04,10.217759049811264,9.954775234646762,-1.014780521447591
