timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,filtered_acc_mag,jerk
0,5.14,-6.56,6.13,0.0,0.04,-0.08,-10.04,30.42,-73.6,10.345535268897398,10.381862234099495,9.493731320497432
7,5.1,-6.59,6.11,0.01,0.05,-0.08,-9.68,33.12,-72.7,10.33296666016106,10.427505173140348,9.066653313617536
14,5.0,-6.7,6.11,0.01,0.07,-0.08,-10.08,33.65,-73.5,10.354810476295548,10.47109485253274,8.530030445748167
21,5.0,-6.76,6.08,0.01,0.07,-0.08,-9.72,33.57,-73.44,10.376126444873346,10.512104614291145,7.890781914874253
28,5.09,-6.9,6.12,0.02,0.07,-0.09,-9.54,33.47,-73.31,10.534348579765147,10.550041065804963,7.157932432304506
35,5.17,-6.9,6.12,0.04,0.08,-0.1,-9.65,33.28,-69.42,10.57323507730723,10.584454202498735,6.342472841652608
42,5.42,-6.9,6.13,0.05,0.09,-0.11,-10.39,34.39,-72.55,10.70342468558545,10.614946860391296,5.457164505316172
49,5.57,-6.87,6.14,0.05,0.09,-0.11,-9.6,32.75,-72.86,10.766680082550982,10.641183228205316,4.516285304255348
56,5.87,-6.86,6.16,0.06,0.1,-0.11,-9.63,33.22,-73.15,10.92987191141781,10.662896138321928,3.5353182382799275
63,5.96,-6.87,6.17,0.07,0.12,-0.11,-9.72,33.12,-72.67,10.990332115090972,10.67989286062135,2.530587378436195
70,6.12,-6.88,6.11,0.07,0.15,-0.11,-9.76,32.8,-72.13,11.050832547821908,10.692059146094602,1.51885010754782
77,6.09,-6.89,6.07,0.07,0.15,-0.11,-9.49,33.12,-72.2,11.018398250199528,10.699361310073197,0.5168586860311564
84,5.98,-6.99,6.0,0.08,0.18,-0.09,-9.44,32.68,-72.23,10.9827364531796,10.701846207602193,-0.4590926716500974
91,5.91,-7.06,5.98,0.08,0.21,-0.06,-10.44,34.08,-67.61,10.978711217624772,10.699639031296183,-1.3936175008045097
98,5.79,-7.11,5.94,0.1,0.23,-0.04,-9.57,32.46,-73.03,10.925191073843973,10.6929389471577,-2.272665926293996
105,5.73,-7.09,5.93,0.1,0.23,-0.04,-9.22,32.51,-73.41,10.87501264367081,10.682012668665902,-3.0839160807759356
112,5.64,-7.01,5.93,0.12,0.24,-0.02,-9.56,32.86,-73.6,10.775648472365829,10.667186149046787,-3.8171131897518933
119,5.61,-6.97,5.93,0.15,0.26,-0.01,-9.79,32.77,-73.71,10.733960126626146,10.648834643326825,-4.4643435490487775
126,5.51,-6.85,5.95,0.17,0.27,0.01,-9.49,32.7,-73.47,10.6153238292574,10.627371453187168,-5.02023329479141
133,5.45,-6.79,5.96,0.17,0.27,0.01,-9.27,33.56,-69.7,10.5512179391765,10.603235716192978,-5.4820649748231745
140,5.39,-6.66,5.96,0.19,0.29,0.01,-10.08,34.27,-73.81,10.4369200437677,10.576879634583252,-5.849808309072046
147,5.37,-6.61,5.96,0.2,0.32,0.01,-9.31,32.53,-73.3,10.39473905396379,10.548755556174251,-6.126065024023603
154,5.32,-6.56,6.0,0.2,0.34,0.0,-9.3,32.34,-73.94,10.36030887570443,10.51930332048183,-6.315930983101765
161,5.3,-6.58,6.0,0.2,0.34,0.0,-9.18,32.18,-73.31,10.362740950154066,10.488938267678456,-6.426781528505444
168,5.26,-6.59,5.96,0.21,0.36,-0.02,-9.22,31.83,-72.8,10.325565359824129,10.458040279560642,-6.467987571519473
175,5.21,-6.58,5.93,0.21,0.39,-0.03,-8.87,31.95,-73.49,10.27644880296691,10.426944185466798,-6.450570542516061
182,5.09,-6.55,5.89,0.22,0.42,-0.04,-8.56,32.23,-71.59,10.173627671583032,10.395931827089317,-6.386804447253525
189,5.03,-6.49,5.86,0.22,0.42,-0.04,-9.21,33.73,-70.51,10.08764590972542,10.365226036477521,-6.2897738482207615
196,4.81,-6.35,5.88,0.23,0.44,-0.05,-8.46,31.86,-73.46,9.901161548020514,10.334986739130306,-6.172898283724862
203,4.71,-6.31,5.93,0.24,0.47,-0.08,-7.88,31.89,-73.88,9.857235920885731,10.305309343535475,-6.049436666976504
210,4.5,-6.29,6.03,0.24,0.49,-0.12,-8.02,31.66,-74.38,9.806885336333856,10.27622551340578,-5.931989163950959
217,4.42,-6.28,6.09,0.24,0.49,-0.12,-8.26,31.64,-74.23,9.801168297708188,10.24770633473294,-5.83201789741139
224,4.42,-6.35,6.26,0.22,0.51,-0.18,-8.01,31.69,-74.57,9.952210809664352,10.21966778714923,-5.759410269486125
231,4.43,-6.29,6.37,0.21,0.52,-0.25,-8.48,32.78,-70.74,9.988288141618662,10.191978314699778,-5.722108734850337
238,4.62,-6.26,6.53,0.18,0.54,-0.31,-8.92,31.28,-74.5,10.157406164961603,10.164468176551459,-5.725828118006518
245,4.75,-6.31,6.61,0.18,0.54,-0.31,-8.21,31.92,-74.9,10.2990630641821,10.13694015675335,-5.773876310952232
252,4.82,-6.42,6.65,0.15,0.58,-0.35,-8.26,31.41,-75.17,10.4245527481998,10.109181136027619,-5.86708703252296
259,4.85,-6.53,6.64,0.13,0.61,-0.38,-8.36,31.73,-74.79,10.500142856171053,10.080973986832797,-6.003865042406829
266,4.78,-6.65,6.51,0.13,0.65,-0.39,-8.2,31.2,-74.76,10.461883195677537,10.052109251051995,-6.180335822786134
273,4.78,-6.68,6.43,0.13,0.65,-0.39,-8.65,30.84,-75.12,10.431476405571743,10.02239609805783,-6.390584637979742
280,4.74,-6.55,6.3,0.15,0.69,-0.4,-8.1,31.31,-70.67,10.24988292616067,9.991672133452159,-6.626965311114134
287,4.8,-6.5,6.24,0.17,0.72,-0.41,-8.94,31.69,-73.28,10.209191936681377,9.959811723302572,-6.880457602525524
294,4.83,-6.27,6.15,0.19,0.75,-0.41,-8.01,30.78,-74.63,10.023188115564828,9.926732600213507,-7.141053462039366
301,4.9,-6.24,6.04,0.19,0.75,-0.41,-8.07,30.75,-74.26,9.971419156770011,9.89240061241524,-7.398155719179044
308,4.95,-6.28,6.0,0.18,0.77,-0.39,-7.79,30.42,-74.69,9.997044563269686,9.856832556073034,-7.640976705212864
315,4.95,-6.28,5.99,0.17,0.79,-0.38,-7.75,30.15,-75.2,9.991045991286398,9.820097091144126,-7.858927520138394
322,4.98,-6.3,5.96,0.16,0.81,-0.37,-7.82,30.11,-74.96,10.00059998200108,9.782313785758845,-8.04199012029639
329,4.97,-6.27,5.98,0.16,0.81,-0.37,-7.73,30.56,-75.53,9.98870361958948,9.743650371718958,-8.181063953325037
336,4.87,-6.15,6.03,0.16,0.83,-0.36,-8.54,30.25,-75.97,9.894458044784464,9.704318333481819,-8.268277342223797
343,4.84,-6.11,6.04,0.16,0.85,-0.36,-6.77,29.92,-76.28,9.860998935199213,9.664567000105743,-8.29725242286895
350,4.62,-5.8,6.11,0.16,0.88,-0.35,-6.74,30.25,-76.45,9.608147584212055,9.624676363457334,-8.263312171864328
357,4.49,-5.72,6.13,0.16,0.88,-0.35,-6.42,30.74,-75.93,9.51080438238533,9.584948901092602,-8.163619593055074
364,4.16,-5.68,6.23,0.16,0.89,-0.33,-6.71,30.34,-76.06,9.401111636397047,9.545700729972145,-7.99724261084134
371,3.99,-5.7,6.27,0.13,0.9,-0.32,-6.08,30.06,-75.58,9.36605573333834,9.507252448189254,-7.765142927201879
378,3.67,-5.68,6.32,0.1,0.9,-0.31,-6.34,30.55,-71.41,9.25600885911417,9.469920030270014,-7.470091714722855
385,3.57,-5.68,6.28,0.1,0.9,-0.31,-6.96,30.63,-75.77,9.1894341501531,9.434006127795385,-7.116518649623373
392,3.37,-5.74,6.23,0.07,0.9,-0.32,-6.01,29.47,-75.53,9.11687446442036,9.399792095826042,-6.710303529381065
399,3.27,-5.74,6.22,0.05,0.89,-0.32,-5.48,29.41,-76.07,9.073527428734648,9.367531021165556,-6.258522044358386
406,3.09,-5.77,6.27,0.04,0.89,-0.32,-5.36,28.98,-76.02,9.063878860620324,9.337441972875371,-5.769159292076836
413,2.98,-5.72,6.33,0.04,0.89,-0.32,-5.09,29.44,-76.32,9.03701831358109,9.309705630125002,-5.250806075879353
420,2.79,-5.59,6.52,0.04,0.89,-0.34,-5.42,29.41,-76.54,9.030094130184912,9.284461370144813,-4.712353695919404
427,2.76,-5.54,6.63,0.05,0.89,-0.35,-5.23,29.41,-74.85,9.070066151908703,9.261805823529816,-4.162702806174963
434,2.7,-5.44,6.87,0.04,0.88,-0.37,-5.29,28.91,-77.2,9.169541973293978,9.24179282926936,-3.6105009399993833
441,2.68,-5.37,6.98,0.04,0.88,-0.37,-5.35,28.95,-76.95,9.205416883552855,9.224434651673208,-3.063921268424423
448,2.61,-5.23,7.18,0.02,0.88,-0.39,-5.31,28.94,-77.71,9.258369186849269,9.20970426095963,-2.530491947298941
455,2.57,-5.19,7.27,0.0,0.89,-0.4,-4.85,29.13,-77.46,9.294831897350267,9.197538434289923,-2.0169814404973465
462,2.42,-5.16,7.44,-0.03,0.89,-0.4,-4.4,29.52,-77.43,9.372064873868512,9.187841408133686,-1.5293411319171355
469,2.44,-5.15,7.52,-0.03,0.89,-0.4,-3.93,29.32,-77.39,9.435385524714928,9.18048880653793,-1.0727026568813471
476,2.43,-5.14,7.61,-0.06,0.9,-0.41,-4.11,31.15,-72.24,9.49929471066142,9.175331582226,-0.6514235527453138
483,2.48,-5.19,7.61,-0.09,0.89,-0.41,-4.37,30.91,-72.35,9.539318633948652,9.172199738222417,-0.2691709347482458
490,2.46,-5.12,7.59,-0.11,0.89,-0.4,-4.47,30.36,-76.76,9.48019514567079,9.170905647189974,0.07097074082167865
497,2.44,-5.05,7.55,-0.11,0.89,-0.4,-3.68,29.1,-76.37,9.405243218545706,9.171246852674694,0.3663843843068264
504,2.34,-5.0,7.43,-0.11,0.89,-0.37,-3.84,28.75,-75.55,9.256376180773984,9.173008316060784,0.6148146691500642
511,2.29,-4.89,7.39,-0.11,0.88,-0.32,-3.49,28.46,-76.05,9.15250239005705,9.175964155816313,0.8142874422317448
518,2.16,-4.68,7.4,-0.09,0.88,-0.27,-2.91,28.5,-76.38,9.018203812289896,9.179878999288581,0.963065172880107
