timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,filtered_acc_mag,jerk
0,0.26,1.29,9.67,0.02,-0.0,0.0,-14.18,-77.97,,9.75912905950116,9.75059956080655,1.1264291378446103
7,0.29,1.24,9.65,0.02,-0.01,-0.0,-13.62,-78.98,,9.73366323641824,9.756015085507727,1.1750546411887512
14,0.34,1.16,9.64,0.02,-0.01,-0.01,-13.65,-79.29,,9.71549278214955,9.761664386667288,1.229501918945715
21,0.35,1.17,9.64,0.02,-0.01,-0.01,-13.91,-78.71,,9.717046876494935,9.767575453585296,1.2890610120090855
28,0.37,1.2,9.61,0.03,-0.01,-0.01,-13.21,-78.68,,9.691697477738357,9.773772862296878,1.3527382041063731
35,0.37,1.23,9.63,0.04,-0.01,-0.01,-13.2,-78.49,,9.71528177666505,9.780276411355082,1.4192877626105087
42,0.39,1.33,9.66,0.06,-0.01,0.0,-13.39,-76.34,,9.758924121028915,9.787099910213787,1.4872530280459557
49,0.42,1.4,9.66,0.06,-0.01,0.0,-14.1,-78.31,,9.769953940526024,9.794250165156315,1.5550135741729605
56,0.37,1.55,9.66,0.07,-0.0,0.01,-12.99,-78.44,,9.790556674673816,9.801726191955224,1.6208354645463885
63,0.35,1.6,9.66,0.08,-0.0,0.01,-12.88,-78.81,,9.79786201168398,9.809518670150158,1.682922341501012
70,0.3,1.69,9.66,0.08,-0.0,0.01,-12.8,-79.01,,9.81130470426844,9.817609642945836,1.7394658261481482
77,0.29,1.71,9.67,0.08,-0.0,0.01,-13.26,-78.53,,9.82431168072349,9.825972459417702,1.788694248443818
84,0.3,1.74,9.66,0.09,-0.0,-0.0,-13.53,-79.23,,9.820040733113077,9.834571950996759,1.8289190498621508
91,0.29,1.79,9.66,0.09,-0.0,-0.02,-13.43,-79.19,,9.828723213113696,9.843364831044173,1.8585783574640118
98,0.35,1.87,9.67,0.1,-0.0,-0.03,-14.12,-77.36,,9.855369095066912,9.852300303916596,1.8762772597991955
105,0.38,1.88,9.68,0.1,-0.0,-0.03,-13.52,-78.98,,9.868191323641836,9.861320867665631,1.8808243260578479
112,0.39,1.93,9.69,0.1,0.0,-0.04,-13.23,-78.79,,9.88802811484676,9.87036329231014,1.8712640476955187
119,0.42,1.96,9.68,0.11,0.0,-0.03,-13.29,-79.07,,9.8853629169596,9.879359754077907,1.846905174593445
126,0.41,1.97,9.66,0.11,0.0,-0.02,-13.8,-79.38,,9.86735020154854,9.888239105878837,1.8073451891386583
133,0.41,1.94,9.67,0.11,0.0,-0.02,-13.68,-79.35,,9.87120053488936,9.896928265442003,1.752491161066473
140,0.36,1.95,9.67,0.12,0.0,-0.02,-13.87,-77.95,,9.87122079582865,9.905353703716361,1.6825768458053005
147,0.33,1.95,9.65,0.13,0.01,-0.01,-13.31,-78.92,,9.850578663205528,9.91344301547504,1.5981752494138846
154,0.31,1.99,9.71,0.15,0.01,-0.01,-13.18,-79.06,,9.916667787114784,9.921126550327992,1.5002052443840341
161,0.29,2.03,9.74,0.15,0.01,-0.01,-13.07,-79.09,,9.953521989728058,9.928339075541377,1.3899304980176623
168,0.31,2.14,9.71,0.17,0.01,-0.0,-12.57,-79.2,,9.947854039942486,9.935021433704923,1.268949232051483
175,0.33,2.13,9.71,0.17,0.0,0.0,-12.67,-79.47,,9.946351089721295,9.94112215116671,1.1391740909307657
182,0.39,2.29,9.64,0.18,0.0,0.02,-13.1,-79.47,,9.91593666780905,9.9465989496808,1.0028021441111434
189,0.34,2.2,9.74,0.18,0.0,0.02,-13.11,-79.2,,9.991156089262144,9.95142011383518,0.8622753487251487
196,0.38,2.31,9.74,0.18,0.0,0.03,-13.52,-78.73,,10.017389879604368,9.955565668396359,0.7202318400284469
203,0.37,2.29,9.75,0.19,0.0,0.04,-13.17,-80.04,,10.022150467838726,9.959028321473419,0.5794487622860345
210,0.36,2.31,9.71,0.18,0.0,0.03,-13.3,-79.47,,9.987482165190585,9.961814132830563,0.44277815798974984
217,0.33,2.3,9.71,0.18,0.0,0.03,-13.42,-79.64,,9.984137418926084,9.963942873974744,0.3130781898421162
224,0.31,2.29,9.71,0.18,0.0,0.03,-13.26,-79.67,,9.98119732296682,9.965448057579755,0.19314213121239732
231,0.3,2.27,9.72,0.17,0.0,0.03,-13.11,-80.05,,9.986055277235351,9.966376625518276,0.085627158977303
238,0.31,2.29,9.72,0.17,0.0,0.03,-13.34,-79.96,,9.990925883020052,9.96678829455182,-0.007015526373550074
245,0.32,2.3,9.74,0.17,0.0,0.03,-14.19,-81.88,,10.012991560967182,9.96675456605964,-0.08260797796503994
252,0.33,2.32,9.73,0.16,0.0,0.03,-13.56,-79.71,,10.008206632559103,9.966357412319423,-0.1393088130190563
259,0.34,2.31,9.72,0.15,0.0,0.03,-13.52,-79.71,,9.9965043890352,9.965687658410678,-0.17567089290864146
266,0.33,2.34,9.7,0.14,0.0,0.03,-13.24,-79.51,,9.983711734620544,9.964843086810156,-0.19069143786632026
273,0.34,2.37,9.69,0.14,0.0,0.03,-12.85,-79.33,,9.981412725661633,9.963926301051183,-0.18385261383846796
280,0.3,2.35,9.7,0.13,0.0,0.03,-13.1,-79.66,,9.985113920231456,9.963042394253883,-0.15515086309258663
287,0.26,2.32,9.69,0.11,0.0,0.03,-13.48,-78.3,,9.967251376382558,9.96229647664286,-0.10511358548134808
294,0.24,2.28,9.68,0.1,-0.0,0.02,-13.94,-79.96,,9.94778367275847,9.961791122866508,-0.034802104529859434
301,0.21,2.27,9.68,0.1,-0.0,0.02,-12.82,-80.4,,9.944817745941853,9.961623805056268,0.05419976513462643
308,0.25,2.24,9.67,0.09,-0.0,0.01,-13.31,-80.39,,9.929199363493511,9.961884380850185,0.15981170635936337
315,0.25,2.24,9.67,0.08,-0.01,-0.0,-13.23,-80.39,,9.929199363493511,9.962652706361528,0.27949698011320834
322,0.31,2.27,9.67,0.08,-0.01,-0.01,-13.05,-80.56,,9.937700941364657,9.963996441842841,0.4103155608839302
329,0.33,2.27,9.66,0.08,-0.01,-0.01,-13.2,-80.59,,9.928615210592058,9.96596911280863,0.5489888715619884
336,0.37,2.24,9.66,0.07,-0.01,-0.02,-13.26,-80.69,,9.923210166070252,9.968608482383447,0.6919744012144804
343,0.35,2.23,9.66,0.07,-0.01,-0.01,-13.9,-79.25,,9.920231852129264,9.971935282389286,0.8355482804978465
350,0.34,2.2,9.66,0.06,-0.0,-0.01,-13.55,-80.78,,9.91318314165536,9.97595234143014,0.9758936149588635
357,0.31,2.19,9.68,0.06,-0.0,-0.01,-13.34,-80.68,,9.929481356042722,9.980644137655904,1.1091920262737744
364,0.31,2.2,9.69,0.06,-0.0,-0.01,-13.42,-80.49,,9.941438527698091,9.985976791628374,1.23171554337452
371,0.29,2.22,9.7,0.05,-0.0,-0.01,-13.69,-80.58,,9.955023857329524,9.991898500971521,1.3399158604137256
378,0.31,2.32,9.66,0.04,-0.01,-0.01,-12.85,-80.43,,9.939522121309455,9.998340404146587,1.4305080575087459
385,0.32,2.4,9.65,0.04,-0.01,-0.01,-14.02,-78.79,,9.949115538579296,10.005217846730764,1.5005460271991353
392,0.34,2.5,9.71,0.04,-0.01,-0.01,-12.77,-80.72,,10.032432406948976,10.012432010323067,1.5474869898794168
399,0.35,2.55,9.74,0.04,-0.01,0.0,-12.57,-80.2,,10.074353577277304,10.019871851620564,1.5692428714275763
406,0.32,2.61,9.76,0.02,-0.01,0.0,-12.66,-80.58,,10.108021567052576,10.027416288502428,1.564217354403496
413,0.3,2.6,9.74,0.02,-0.01,0.0,-12.61,-80.12,,10.08551436467174,10.034936564244752,1.5313290487254676
420,0.31,2.55,9.72,-0.01,-0.01,-0.0,-12.73,-80.88,,10.053705784435907,10.042298723132856,1.4700227575186489
427,0.32,2.55,9.68,-0.03,-0.01,-0.01,-13.15,-80.46,,10.015353213941085,10.04936614023631,1.380271426640718
434,0.33,2.59,9.67,-0.04,-0.01,-0.01,-12.85,-79.98,,10.0162817452386,10.056002060556699,1.2625708027773612
441,0.36,2.58,9.73,-0.04,-0.01,-0.01,-13.61,-79.6,,10.072680874523922,10.062072112493128,1.1179275693422426
448,0.35,2.57,9.76,-0.05,-0.01,-0.01,-12.89,-80.14,,10.098762300400976,10.067446764268812,0.9478406717074677
455,0.34,2.59,9.74,-0.07,-0.01,-0.01,-13.2,-80.47,,10.084210430172508,10.072003690575098,0.7542753155546507
462,0.34,2.6,9.73,-0.07,-0.01,-0.01,-12.76,-80.81,,10.077127566921044,10.075630014207572,0.5396296012782784
469,0.36,2.6,9.75,-0.09,-0.01,-0.01,-13.17,-80.58,,10.097133256523854,10.078224387290641,0.3066943077131441
476,0.36,2.56,9.75,-0.11,-0.01,-0.0,-13.52,-80.21,,10.086907355577328,10.079698879154646,0.05860654901630369
