timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
97745,-0.31,0.96,9.81,0
97748,-0.31,0.97,9.82,0
97750,-0.31,0.96,9.81,0
97753,-0.31,0.98,9.82,0
97756,-0.33,0.95,9.82,0
97759,-0.33,0.96,9.82,0
97762,-0.31,0.95,9.82,0
97765,-0.32,0.96,9.81,0
97767,-0.31,0.99,9.81,0
97770,-0.30,0.96,9.81,0
97773,-0.30,0.98,9.80,0
97776,-0.32,0.96,9.81,0
97779,-0.33,0.96,9.80,0
97782,-0.32,0.99,9.82,0
97785,-0.31,0.98,9.82,0
97788,-0.31,0.99,9.81,0
97790,-0.32,1.00,9.81,0
97793,-0.31,0.99,9.81,0
97796,-0.31,0.99,9.81,0
97799,-0.32,0.96,9.81,0
97802,-0.31,0.98,9.82,0
97805,-0.29,0.96,9.80,0
97807,-0.33,0.96,9.80,0
97810,-0.32,0.98,9.82,0
97813,-0.31,0.96,9.84,0
97816,-0.33,0.94,9.83,0
97819,-0.31,0.95,9.83,0
97821,-0.31,0.97,9.82,0
97824,-0.32,0.95,9.84,0
97827,-0.31,0.96,9.83,0
97830,-0.32,0.96,9.82,0
97833,-0.32,0.96,9.84,0
97836,-0.31,0.98,9.82,0
97839,-0.31,0.97,9.83,0
97841,-0.33,0.96,9.82,0
97844,-0.32,0.97,9.83,0
97847,-0.32,0.96,9.83,0
97850,-0.33,0.97,9.82,0
97853,-0.30,0.96,9.80,0
97856,-0.32,0.95,9.81,0
97858,-0.33,0.98,9.82,0
97861,-0.31,0.98,9.79,0
97864,-0.31,0.96,9.80,0
97867,-0.34,0.97,9.81,0
97870,-0.31,0.96,9.82,0
97873,-0.31,0.96,9.82,0
97875,-0.32,0.99,9.83,0
97878,-0.31,0.96,9.84,0
97881,-0.31,0.97,9.83,0
97884,-0.31,0.97,9.83,0
97887,-0.30,0.97,9.84,0
97890,-0.32,0.98,9.82,0
97893,-0.32,0.96,9.83,0
97895,-0.33,0.97,9.82,0
97898,-0.32,0.97,9.81,0
97901,-0.31,0.98,9.81,0
97904,-0.32,0.96,9.83,0
97907,-0.34,0.96,9.82,0
97909,-0.31,0.95,9.81,0
97912,-0.33,0.96,9.83,0
97915,-0.33,0.96,9.82,0
97918,-0.30,0.95,9.80,0
97921,-0.32,0.96,9.82,0
97923,-0.31,0.96,9.81,0
97926,-0.31,0.94,9.82,0
97929,-0.31,0.95,9.82,0
97932,-0.31,0.98,9.81,0
97935,-0.32,0.98,9.80,0
97938,-0.31,0.97,9.81,0
97941,-0.30,0.97,9.82,0
97944,-0.30,0.98,9.81,0
97946,-0.32,0.97,9.82,0
97949,-0.32,0.97,9.82,0
97952,-0.30,0.98,9.81,0
97955,-0.32,0.97,9.82,0
97958,-0.31,0.97,9.82,0
97960,-0.31,0.97,9.82,0
97963,-0.31,0.98,9.83,0
97966,-0.33,0.96,9.82,0
97969,-0.33,0.96,9.82,0
97972,-0.30,0.97,9.82,0
97975,-0.33,0.96,9.81,0
97978,-0.31,0.98,9.80,0
97980,-0.32,0.98,9.82,0
97983,-0.33,0.97,9.83,0
97986,-0.32,0.96,9.82,0
97989,-0.34,0.96,9.84,0
97992,-0.32,0.97,9.82,0
97995,-0.32,0.95,9.81,0
97997,-0.35,0.98,9.83,0
98000,-0.31,0.98,9.83,0
98003,-0.31,0.96,9.84,0
