timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status,acceleration_magnitude
137000,-0.63,3.5,9.02,0,9.695736176278725
137003,-0.64,3.49,9.05,0,9.72070985062305
137006,-0.64,3.5,9.04,0,9.714998713329816
137009,-0.64,3.51,9.1,0,9.774441160496082
137011,-0.64,3.55,9.13,0,9.8167713633353
137014,-0.64,3.56,9.14,0,9.829689720433704
137017,-0.65,3.59,9.2,0,9.896999545316751
137020,-0.64,3.59,9.21,0,9.905644855333751
137023,-0.64,3.58,9.24,0,9.929934541576797
137025,-0.64,3.57,9.24,0,9.926333663543655
137028,-0.66,3.57,9.23,0,9.918336554080025
137031,-0.66,3.56,9.3,0,9.979939879578435
137034,-0.62,3.6,9.32,0,10.010334659740403
137037,-0.62,3.6,9.32,0,10.010334659740403
137040,-0.61,3.59,9.3,0,9.987502190237558
137043,-0.62,3.55,9.28,0,9.955164488846982
137045,-0.64,3.46,9.27,0,9.915346690862604
137048,-0.61,3.44,9.21,0,9.850370551405668
137051,-0.59,3.4,9.17,0,9.797805876827729
137054,-0.59,3.38,9.16,0,9.781518287055441
137057,-0.57,3.37,9.16,0,9.776880893209245
137059,-0.55,3.36,9.13,0,9.744177748789275
137062,-0.55,3.35,9.12,0,9.731361672448516
137065,-0.5,3.36,9.1,0,9.713372225957368
137068,-0.5,3.36,9.14,0,9.750856372647482
137071,-0.49,3.36,9.15,0,9.759723356735067
137073,-0.48,3.41,9.19,0,9.814000203790501
137076,-0.49,3.4,9.18,0,9.801658023008148
137079,-0.48,3.44,9.21,0,9.843175300684226
137082,-0.52,3.41,9.25,0,9.872233789776253
137085,-0.52,3.33,9.16,0,9.760373968245275
137088,-0.52,3.26,9.13,0,9.708496279033124
137091,-0.54,3.22,9.1,0,9.66798841538404
137093,-0.57,3.18,9.07,0,9.628198169958905
137096,-0.56,3.17,9.06,0,9.614889494944807
137099,-0.57,3.23,9.13,0,9.701273112329124
137102,-0.56,3.26,9.14,0,9.720123456006101
137105,-0.55,3.29,9.15,0,9.739050261704167
137107,-0.56,3.32,9.17,0,9.768566936864383
137110,-0.59,3.31,9.16,0,9.757550922234534
137113,-0.56,3.31,9.18,0,9.774563928892173
137116,-0.56,3.3,9.18,0,9.771182118863612
137119,-0.57,3.34,9.19,0,9.794723069081638
137121,-0.58,3.35,9.19,0,9.79872440677867
137124,-0.59,3.4,9.27,0,9.891460963881928
137127,-0.56,3.47,9.29,0,9.932703559454495
137130,-0.57,3.46,9.27,0,9.911074613784319
137133,-0.58,3.44,9.29,0,9.9234117117048
137136,-0.58,3.46,9.31,0,9.949075333919229
137139,-0.58,3.45,9.29,0,9.926882692970638
137141,-0.6,3.46,9.3,0,9.940905391361493
137144,-0.63,3.49,9.33,0,9.981277473349792
137147,-0.62,3.53,9.35,0,10.013381047378552
137150,-0.64,3.52,9.36,0,10.020459071320035
137153,-0.66,3.52,9.31,0,9.975073934563092
137155,-0.68,3.48,9.3,0,9.95302968949656
137158,-0.67,3.45,9.26,0,9.904493929525122
137161,-0.66,3.4,9.22,0,9.849060868935677
137164,-0.64,3.37,9.2,0,9.818681174169981
137167,-0.64,3.35,9.15,0,9.76496799789943
137170,-0.62,3.35,9.15,0,9.763677585827995
137172,-0.6,3.3,9.13,0,9.726607836239724
137175,-0.56,3.31,9.13,0,9.727620469570141
137178,-0.53,3.33,9.13,0,9.732764252770124
137181,-0.5,3.33,9.15,0,9.749943589580404
137184,-0.49,3.31,9.14,0,9.733231734629562
137187,-0.51,3.29,9.17,0,9.755670146125277
137190,-0.49,3.29,9.16,0,9.74524499435494
137192,-0.48,3.28,9.19,0,9.769590574839869
137195,-0.46,3.3,9.24,0,9.822382603014404
137198,-0.46,3.32,9.28,0,9.866731981765795
137201,-0.45,3.32,9.29,0,9.875677191970178
137204,-0.46,3.33,9.3,0,9.888907927572186
137206,-0.47,3.31,9.32,0,9.901484737149273
137209,-0.48,3.32,9.34,0,9.92413220387556
137212,-0.44,3.29,9.37,0,9.940553304519824
137215,-0.45,3.28,9.37,0,9.937695910018578
137218,-0.46,3.24,9.37,0,9.925023929442185
137220,-0.47,3.23,9.34,0,9.893907216059791
137223,-0.45,3.23,9.32,0,9.874097427106946
137226,-0.47,3.21,9.33,0,9.877950192221057
137229,-0.47,3.22,9.35,0,9.900090908673516
137232,-0.47,3.25,9.35,0,9.909889000387441
137235,-0.46,3.27,9.36,0,9.925426942958172
137238,-0.47,3.27,9.35,0,9.916466104414415
