timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label,acceleration_magnitude_standardized,acceleration_z_standardized
0,0.28,0.61,9.78,0.03,0.02,0.05,1.8,0.29,-89.59,9.803004641435196,0,-0.22320559366642767,0.5932106458590714
7,0.29,0.64,9.81,0.06,0.03,0.05,2.29,0.96,-89.49,9.835130909144016,0,-0.17718815954579875,0.6025560390882122
14,0.32,0.71,9.89,0.07,0.04,0.05,2.34,1.04,-89.7,9.92061490029726,0,-0.05474150726372346,0.6274770876992536
21,0.34,0.75,9.93,0.07,0.05,0.06,2.46,1.02,-89.59,9.964085507461284,0,0.007525476859211029,0.639937612004774
28,0.34,0.82,10.02,0.07,0.05,0.06,2.5,0.88,-88.18,10.059244504434714,0,0.14383053768666818,0.6679737916921955
35,0.36,0.85,10.04,0.07,0.06,0.05,2.66,0.54,-89.14,10.082345957166911,0,0.17692089193603017,0.6742040538449557
42,0.33,0.95,10.11,0.06,0.06,0.05,2.38,0.7,-84.3,10.159896653017686,0,0.2880039492543308,0.696009971379617
49,0.34,1.0,10.12,0.04,0.07,0.04,1.45,2.03,-88.66,10.174969287422934,0,0.3095938820487154,0.6991251024559971
56,0.37,1.11,10.16,0.04,0.07,0.04,2.35,0.67,-88.8,10.227150140679464,0,0.3843373598424749,0.711585626761518
63,0.37,1.18,10.15,0.03,0.07,0.03,2.38,0.56,-88.12,10.225057457051282,0,0.38133981490921215,0.708470495685138
70,0.37,1.25,10.08,0.01,0.07,0.02,2.91,0.75,-87.75,10.16394608407581,0,0.293804325091083,0.6866645781504767
77,0.37,1.26,10.05,-0.01,0.07,0.02,2.86,0.77,-88.16,10.135432896526918,0,0.25296224092828296,0.6773191849213364
84,0.42,1.25,9.95,-0.01,0.07,0.02,2.75,0.53,-88.56,10.037001544286024,0,0.11196988202111496,0.6461678741575342
91,0.42,1.19,9.87,-0.03,0.06,0.03,2.67,0.28,-87.24,9.950346727627132,0,-0.012153852269406525,0.6212468255464928
98,0.44,1.13,9.77,-0.04,0.06,0.04,1.77,1.94,-84.79,9.844968257947812,0,-0.1630972120817698,0.5900955147826912
105,0.44,1.08,9.75,-0.04,0.06,0.05,2.66,0.35,-89.45,9.819495913742212,0,-0.19958361417501227,0.583865252629931
112,0.43,0.96,9.7,-0.04,0.06,0.05,2.51,0.45,-88.5,9.756869374958342,0,-0.28928941656731905,0.56828959724803
119,0.4,0.93,9.71,-0.04,0.06,0.07,2.85,0.8,-88.82,9.762632841605797,0,-0.28103386851674733,0.5714047283244106
126,0.37,0.87,9.72,-0.03,0.06,0.09,2.22,0.92,-89.35,9.765869136948334,0,-0.2763982224133806,0.5745198594007908
133,0.3,0.82,9.73,-0.03,0.07,0.1,2.88,1.2,-89.05,9.7690992419977,0,-0.2717714432412971,0.5776349904771708
140,0.26,0.7,9.74,-0.03,0.07,0.1,2.92,2.6,-83.41,9.768582292226442,0,-0.27251191836458755,0.5807501215535509
147,0.19,0.65,9.74,-0.03,0.07,0.11,2.37,1.32,-88.7,9.763513711774056,0,-0.2797721164419619,0.5807501215535509
154,0.15,0.56,9.72,-0.04,0.07,0.12,2.76,0.61,-88.45,9.737273745766831,0,-0.31735805446654886,0.5745198594007908
161,0.04,0.5,9.73,-0.04,0.07,0.12,3.24,0.26,-87.78,9.742920506706396,0,-0.3092696748300933,0.5776349904771708
168,0.01,0.41,9.71,-0.04,0.07,0.12,3.54,0.63,-87.8,9.718657314670583,0,-0.3440240960776516,0.5714047283244106
175,-0.09,0.42,9.71,-0.03,0.07,0.12,3.57,0.25,-87.3,9.719495871700344,0,-0.3428229530372225,0.5714047283244106
182,-0.12,0.44,9.79,-0.02,0.07,0.11,3.32,0.45,-87.02,9.800617327495242,0,-0.22662516493293114,0.5963257769354514
189,-0.2,0.49,9.83,-0.01,0.06,0.1,2.82,0.85,-85.06,9.844236892720533,0,-0.1641448143575616,0.6087863012409724
196,-0.21,0.58,9.94,-0.01,0.06,0.1,2.35,2.43,-86.17,9.959121447196033,0,0.00041499274392325794,0.6430527430811541
203,-0.26,0.63,10.0,0.0,0.06,0.09,3.03,0.13,-88.1,10.02319809242539,0,0.09219791714828339,0.6617435295394353
