timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label,acceleration_magnitude_standardized,acceleration_z_standardized
0,-0.24,0.79,9.83,0.05,-0.02,-0.0,3.52,2.35,-86.99,9.864613525120992,0,-0.13495747309566372,0.6087863012409724
7,-0.2,0.75,9.87,0.05,-0.02,-0.02,4.66,0.67,-88.29,9.900474736092203,0,-0.08359013318830825,0.6212468255464928
14,-0.19,0.73,9.86,0.05,-0.02,-0.02,4.27,0.91,-88.12,9.888811859874776,0,-0.10029595295102976,0.6181316944701127
21,-0.13,0.67,9.86,0.05,-0.02,-0.03,4.46,0.54,-87.97,9.883592464281396,0,-0.10777217754844694,0.6181316944701127
28,-0.12,0.68,9.86,0.05,-0.02,-0.03,4.27,0.09,-88.12,9.884148926437724,0,-0.10697510516980735,0.6181316944701127
35,-0.09,0.62,9.85,0.05,-0.02,-0.03,4.36,0.45,-88.56,9.869903748264214,0,-0.1273797956267745,0.6150165633937326
42,-0.07,0.59,9.87,0.06,-0.02,-0.03,4.08,0.15,-88.02,9.88786630168511,0,-0.10165036368104623,0.6212468255464928
49,-0.05,0.58,9.82,0.07,-0.01,-0.01,4.17,0.63,-88.44,9.837240466716263,0,-0.17416644449677998,0.6056711701645923
56,-0.05,0.56,9.83,0.07,-0.01,-0.01,4.18,1.01,-88.19,9.846065203927912,0,-0.16152595457278496,0.6087863012409724
63,-0.05,0.54,9.77,0.08,-0.01,0.0,4.36,0.95,-87.96,9.785039601350624,0,-0.24893858749126876,0.5900955147826912
70,-0.05,0.51,9.76,0.09,-0.01,0.03,3.64,0.51,-88.51,9.77344361011,0,-0.26554860169569755,0.5869803837063111
77,-0.07,0.49,9.77,0.11,-0.0,0.05,4.19,0.88,-88.53,9.782530347512344,0,-0.25253282458851134,0.5900955147826912
84,-0.07,0.47,9.78,0.11,-0.0,0.05,4.09,0.37,-88.21,9.791537162264156,0,-0.23963152810941774,0.5932106458590714
91,-0.12,0.51,9.76,0.12,-0.0,0.07,4.36,0.29,-88.0,9.774052383735214,0,-0.2646765987463807,0.5869803837063111
98,-0.15,0.48,9.76,0.12,-0.0,0.09,4.22,0.42,-87.52,9.772947354815742,0,-0.2662594341994151,0.5869803837063111
105,-0.16,0.45,9.75,0.13,-0.0,0.09,3.77,0.23,-87.39,9.76169042737988,0,-0.2823837758557666,0.583865252629931
112,-0.19,0.47,9.76,0.13,-0.0,0.09,3.83,-0.25,-87.58,9.773157115282656,0,-0.26595897481973163,0.5869803837063111
119,-0.19,0.46,9.8,0.15,-0.0,0.1,4.18,0.69,-87.68,9.812629616978317,0,-0.20941884812901773,0.5994409080118321
126,-0.2,0.46,9.84,0.16,-0.0,0.1,4.37,0.18,-87.71,9.85277625849689,0,-0.15191308841892737,0.6119014323173525
133,-0.23,0.49,9.9,0.19,-0.01,0.09,4.33,-0.26,-87.27,9.914786936692083,0,-0.06308944029128097,0.6305922187756337
140,-0.22,0.51,9.91,0.19,-0.01,0.09,4.57,-0.57,-87.61,9.925552881326055,0,-0.04766837885861011,0.6337073498520138
147,-0.2,0.6,9.96,0.2,-0.01,0.09,4.02,-0.39,-87.64,9.9800601200594,0,0.030407396710565367,0.6492830052339149
154,-0.17,0.59,9.95,0.21,-0.01,0.09,3.9,-0.34,-87.88,9.968926722571492,0,0.014459998460567582,0.6461678741575342
161,-0.11,0.5,9.86,0.2,-0.01,0.09,3.95,-0.64,-85.12,9.873282129059213,0,-0.12254062734624717,0.6181316944701127
168,-0.08,0.46,9.79,0.2,-0.01,0.09,3.22,-0.41,-88.03,9.801127486161986,0,-0.22589441733875873,0.5963257769354514
175,-0.03,0.39,9.66,0.2,-0.01,0.09,4.57,0.0,-88.31,9.667916011219791,0,-0.41670557311398304,0.5558290729425095
182,0.01,0.36,9.63,0.21,-0.01,0.1,4.81,-0.06,-87.93,9.636731811148426,0,-0.4613735963464042,0.5464836797133692
189,0.07,0.31,9.57,0.23,-0.01,0.1,4.79,-0.12,-88.91,9.575275452956957,0,-0.5494032404993493,0.527792893255088
196,0.08,0.27,9.58,0.23,-0.01,0.1,4.52,-0.86,-88.92,9.584137937237756,0,-0.5367086819457948,0.5309080243314681
203,0.08,0.26,9.62,0.25,-0.0,0.11,4.38,-0.34,-88.64,9.62384538529168,0,-0.47983201978630907,0.5433685486369886
210,0.06,0.28,9.63,0.28,0.01,0.11,4.9,-0.95,-88.67,9.634256587822437,0,-0.4649190883833233,0.5464836797133692
217,0.01,0.32,9.7,0.31,0.02,0.13,3.95,0.95,-82.96,9.70528206699836,0,-0.36318270435989153,0.56828959724803
224,-0.04,0.32,9.75,0.31,0.02,0.13,4.0,1.18,-83.08,9.755331875441245,0,-0.29149171978472893,0.583865252629931
231,-0.18,0.38,9.87,0.34,0.03,0.15,3.79,0.72,-83.31,9.878952373607232,0,-0.11441860995844144,0.6212468255464928
238,-0.22,0.47,9.88,0.38,0.04,0.17,3.74,0.28,-83.5,9.893619155799358,0,-0.09341001694648442,0.6243619566228735
