timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label,acceleration_magnitude_standardized,acceleration_z_standardized
0,1.34,4.26,8.62,0.32,0.04,0.05,-4.52,-14.24,-86.45,9.708120312398275,0,-0.35911722212296937,0.23185544099897148
7,1.35,4.4,8.66,0.32,0.03,0.04,-4.08,-15.33,-86.23,9.80704338728039,0,-0.21742052325159972,0.24431596530449246
14,1.33,4.52,8.68,0.34,0.03,0.04,-4.11,-15.0,-86.82,9.876320164919726,0,-0.11818896669477111,0.25054622745725263
21,1.33,4.7,8.71,0.34,0.03,0.03,-3.96,-15.48,-87.07,9.98614039556825,0,0.039116739488872954,0.25989162068639354
28,1.34,4.76,8.73,0.33,0.03,0.03,-4.4,-15.67,-86.63,10.033249722796697,0,0.1065957999838764,0.2661218828391537
35,1.37,4.95,8.7,0.33,0.03,0.04,-3.86,-15.35,-83.97,10.10294016611006,0,0.2064198882681685,0.25677648961001287
42,1.37,5.03,8.69,0.3,0.03,0.04,-4.65,-13.72,-84.3,10.133799879610809,0,0.25062311927755027,0.25366135853363275
49,1.43,5.17,8.6,0.27,0.03,0.04,-3.99,-15.04,-86.73,10.13576834778696,0,0.2534427388933624,0.22562517884621128
56,1.42,5.23,8.59,0.24,0.02,0.04,-4.09,-15.13,-86.5,10.156643146236853,0,0.28334364961090514,0.22251004776983116
63,1.44,5.33,8.56,0.24,0.03,0.04,-3.87,-15.49,-86.29,10.186073826553583,0,0.325499943795947,0.21316465454069086
70,1.42,5.37,8.56,0.22,0.03,0.04,-3.38,-15.83,-85.79,10.204258914786513,0,0.3515481330011591,0.21316465454069086
77,1.37,5.44,8.56,0.19,0.03,0.05,-3.46,-15.92,-85.06,10.234456507309025,0,0.394802946697578,0.21316465454069086
84,1.33,5.44,8.58,0.17,0.03,0.05,-3.6,-16.05,-84.79,10.245921139653577,0,0.41122480336684203,0.21939491669345107
91,1.26,5.46,8.57,0.17,0.03,0.05,-3.52,-13.74,-80.71,10.23934079909444,0,0.40179917101776563,0.21627978561707095
98,1.24,5.42,8.57,0.13,0.03,0.05,-4.22,-15.62,-84.67,10.215620392320773,0,0.3678222314642767,0.21627978561707095
105,1.19,5.4,8.54,0.1,0.03,0.05,-3.43,-15.96,-85.19,10.173873402003782,0,0.30802414367958136,0.2069343923879301
112,1.13,5.33,8.53,0.07,0.02,0.04,-3.74,-15.64,-85.52,10.121595723995302,0,0.23314197480958274,0.20381926131154998
119,1.1,5.25,8.54,0.07,0.02,0.03,-3.89,-16.18,-85.18,10.08484506574097,0,0.1805005970299854,0.2069343923879301
126,1.1,5.19,8.54,0.04,0.02,0.03,-4.31,-16.21,-85.55,10.053740597409504,0,0.13594678096664575,0.2069343923879301
133,1.11,5.1,8.58,0.02,0.01,0.01,-4.05,-15.9,-86.29,10.04283326556804,0,0.12032319751787164,0.21939491669345107
140,1.11,5.03,8.57,0.0,0.0,-0.02,-4.14,-13.65,-85.76,9.998894938942003,0,0.05738625541148387,0.21627978561707095
147,1.2,4.94,8.56,0.0,-0.0,-0.06,-4.06,-15.71,-86.57,9.955762150634175,0,-0.004396839418718108,0.21316465454069086
154,1.26,4.86,8.56,-0.02,-0.0,-0.06,-3.98,-15.73,-86.76,9.923749291472452,0,-0.050251827954566786,0.21316465454069086
161,1.32,4.8,8.53,-0.03,-0.01,-0.08,-3.77,-15.45,-86.55,9.876401166416844,0,-0.11807294073460935,0.20381926131154998
168,1.35,4.76,8.53,-0.03,-0.01,-0.09,-3.79,-15.17,-85.71,9.861085132986124,0,-0.14001151653730043,0.20381926131154998
175,1.42,4.71,8.56,-0.03,-0.01,-0.08,-3.17,-15.46,-85.95,9.872897244476922,0,-0.12309193324552332,0.21316465454069086
182,1.43,4.7,8.56,-0.03,-0.01,-0.08,-3.52,-15.83,-84.65,9.86957445891159,0,-0.12785146732011765,0.21316465454069086
189,1.46,4.68,8.57,-0.03,-0.01,-0.06,-4.22,-14.07,-80.21,9.873140331221874,0,-0.12274373754558056,0.21627978561707095
196,1.44,4.66,8.55,-0.03,-0.01,-0.03,-3.52,-15.84,-84.87,9.84335816680466,0,-0.1654034950206966,0.21004952346431074
203,1.44,4.7,8.53,-0.03,-0.0,-0.0,-4.05,-15.97,-84.99,9.845024123891216,0,-0.1630171901074318,0.20381926131154998
210,1.42,4.72,8.51,-0.02,-0.0,-0.0,-3.49,-16.06,-84.68,9.83437339132494,0,-0.17827322260542677,0.19758899915878977
217,1.34,4.79,8.52,-0.02,0.0,0.02,-3.54,-15.68,-84.96,9.865601856957332,0,-0.13354179370270466,0.2007041302351699
224,1.31,4.85,8.53,-0.01,0.0,0.04,-4.06,-15.96,-84.99,9.899469682765838,0,-0.08502976432295803,0.20381926131154998
231,1.22,4.96,8.55,-0.01,0.0,0.03,-4.19,-16.18,-85.46,9.959543162213818,0,0.0010190542933220437,0.21004952346431074
238,1.19,4.97,8.55,-0.01,0.0,0.03,-3.62,-14.63,-80.75,9.960898553845432,0,0.002960507489217134,0.21004952346431074
245,1.17,5.0,8.59,-0.02,-0.0,0.02,-4.19,-16.35,-85.06,10.007846921291312,0,0.07020901035277033,0.22251004776983116
252,1.17,5.01,8.6,-0.03,-0.01,-0.0,-3.79,-16.41,-86.06,10.02142704408908,0,0.08966108028695538,0.22562517884621128
259,1.17,4.95,8.61,-0.03,-0.01,-0.03,-3.6,-15.99,-85.66,10.000174998468776,0,0.05921980344381747,0.22874030992259137
266,1.2,4.92,8.63,-0.05,-0.01,-0.03,-3.6,-15.57,-86.19,10.006163100809422,0,0.06779711804088875,0.23497057207535213
273,1.26,4.82,8.64,-0.07,-0.02,-0.05,-3.7,-15.81,-85.78,9.973444740910736,0,0.02093157533860216,0.23808570315173225
280,1.28,4.78,8.63,-0.08,-0.02,-0.07,-3.76,-15.24,-83.41,9.948050060187676,0,-0.015443582142483054,0.23497057207535213
287,1.38,4.72,8.61,-0.08,-0.02,-0.08,-4.66,-14.35,-81.73,9.91538703228472,0,-0.06222986769322769,0.22874030992259137
294,1.4,4.69,8.59,-0.1,-0.02,-0.08,-3.48,-16.03,-85.43,9.88656664368374,0,-0.1035119844270186,0.22251004776983116
301,1.42,4.65,8.59,-0.11,-0.02,-0.08,-3.7,-15.8,-86.07,9.870511638208022,0,-0.12650905845632823,0.22251004776983116
308,1.45,4.64,8.57,-0.11,-0.02,-0.06,-3.45,-15.46,-85.46,9.852766109068051,0,-0.15192762638758217,0.21627978561707095
315,1.47,4.6,8.54,-0.11,-0.02,-0.04,-3.46,-15.78,-85.19,9.810835846144812,0,-0.21198823253141585,0.2069343923879301
322,1.46,4.59,8.55,-0.11,-0.02,-0.04,-3.48,-15.86,-85.79,9.813368432908243,0,-0.20836057352050086,0.21004952346431074
329,1.42,4.58,8.54,-0.1,-0.01,-0.02,-3.8,-15.43,-85.18,9.794100264955429,0,-0.23596015830359168,0.2069343923879301
336,1.4,4.56,8.54,-0.1,-0.01,-0.0,-3.65,-13.18,-80.87,9.781881209665142,0,-0.25346264495823306,0.2069343923879301
