timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label
0,0.47,1.62,9.71,0.03,-0.01,-0.03,-0.39,0.56,-88.47,9.855424902052675,0
7,0.48,1.63,9.72,0.03,-0.01,-0.02,0.72,-0.73,-88.69,9.867405940772883,0
14,0.49,1.66,9.74,0.03,-0.01,-0.02,0.38,-0.99,-87.93,9.892588134558116,0
21,0.48,1.67,9.74,0.03,-0.01,-0.02,0.75,-1.49,-88.07,9.893780874872862,0
28,0.48,1.66,9.76,0.03,-0.01,-0.02,0.34,-1.34,-88.16,9.911790958247655,0
35,0.46,1.67,9.74,0.03,-0.01,-0.01,0.8,-0.99,-87.66,9.892830737458317,0
42,0.45,1.68,9.73,0.02,-0.01,-0.01,0.38,-1.43,-86.29,9.884219746646671,0
49,0.45,1.69,9.73,0.02,-0.01,-0.01,-0.09,0.61,-83.19,9.88592433715735,0
56,0.45,1.69,9.73,0.02,-0.01,-0.01,0.19,-1.37,-88.38,9.88592433715735,0
63,0.46,1.69,9.74,0.02,-0.01,-0.01,0.41,-0.99,-88.29,9.89622655359102,0
70,0.47,1.69,9.74,0.02,-0.01,-0.01,0.13,-1.46,-88.76,9.89669641850249,0
77,0.47,1.7,9.74,0.02,-0.01,-0.01,0.16,-1.3,-89.13,9.89840896306068,0
84,0.47,1.71,9.74,0.02,-0.01,-0.0,-0.06,-1.43,-89.16,9.90013131226046,0
91,0.49,1.69,9.75,0.01,-0.01,-0.0,0.1,-0.26,-84.74,9.90750725460244,0
98,0.48,1.68,9.76,0.01,-0.0,-0.0,-1.01,-0.75,-89.17,9.915160109650271,0
105,0.48,1.68,9.74,0.01,-0.0,-0.0,-0.31,-1.42,-89.17,9.895473712763833,0
112,0.48,1.68,9.73,0.01,-0.0,0.0,-0.15,-1.27,-88.97,9.88563098643683,0
119,0.49,1.68,9.73,0.01,-0.0,0.0,-0.61,-0.63,-88.95,9.886121585333656,0
126,0.48,1.68,9.72,0.0,-0.0,0.01,0.39,-1.04,-88.7,9.875788576108746,0
133,0.48,1.67,9.72,0.0,-0.0,0.01,-0.56,-1.84,-87.85,9.874092363351682,0
140,0.48,1.66,9.72,0.0,-0.0,0.01,-0.07,-1.9,-84.99,9.872405988410325,0
147,0.48,1.66,9.71,0.01,0.0,0.01,-0.73,-0.26,-84.6,9.86256051945944,0
154,0.45,1.66,9.74,0.01,0.0,0.01,0.1,-1.7,-87.23,9.890687539296753,0
161,0.45,1.65,9.75,0.01,0.0,0.01,-0.22,-1.23,-87.12,9.89886357113785,0
168,0.44,1.65,9.75,0.01,0.0,0.02,-0.47,-1.34,-87.56,9.898414014376243,0
175,0.43,1.65,9.74,0.01,0.0,0.02,-0.37,-1.3,-88.4,9.888124190158615,0
182,0.47,1.65,9.73,0.0,0.0,0.01,0.22,-1.49,-88.48,9.880096153378268,0
189,0.49,1.66,9.71,0.0,0.0,0.01,-0.39,-1.42,-88.26,9.863052265906331,0
196,0.5,1.67,9.72,0.0,0.0,0.01,-1.11,-1.02,-88.15,9.875084809762397,0
203,0.5,1.68,9.71,0.01,0.0,0.01,-0.06,-1.13,-88.56,9.866939748473182,0
210,0.48,1.69,9.74,0.01,0.0,0.01,0.01,-0.79,-88.6,9.897176365004317,0
217,0.46,1.71,9.74,0.01,0.0,0.01,0.31,-1.08,-88.61,9.899661610378407,0
224,0.45,1.73,9.77,0.01,0.0,0.02,0.06,-0.96,-87.93,9.932185056673076,0
231,0.43,1.72,9.76,0.0,0.0,0.02,-0.32,-1.1,-88.44,9.919722778384484,0
238,0.42,1.71,9.75,-0.0,0.0,0.02,-0.2,-1.27,-83.32,9.907724259384697,0
245,0.42,1.69,9.74,-0.0,0.0,0.02,-1.02,0.32,-87.56,9.894447938111556,0
252,0.42,1.65,9.71,-0.01,0.0,0.02,0.28,-1.74,-88.45,9.858143841514996,0
259,0.42,1.65,9.71,-0.01,0.0,0.02,-0.22,-1.52,-88.53,9.858143841514996,0
266,0.44,1.63,9.71,-0.0,0.0,0.01,-0.29,-1.8,-88.1,9.85568871261669,0
273,0.44,1.62,9.72,-0.0,0.0,0.01,-0.39,-1.67,-87.45,9.86389375449675,0
280,0.46,1.61,9.72,0.0,0.0,0.01,-0.32,-1.55,-87.08,9.863168861983455,0
287,0.46,1.62,9.74,0.0,-0.0,0.01,-0.26,-1.77,-86.85,9.884513139249702,0
294,0.45,1.61,9.75,0.0,-0.0,0.01,-1.15,0.25,-83.62,9.892274763672914,0
301,0.47,1.61,9.74,0.0,-0.0,0.01,-0.23,-1.91,-88.89,9.883349634612753,0
308,0.48,1.59,9.71,0.0,-0.0,0.01,-0.64,-1.51,-88.69,9.851020251730276,0
315,0.47,1.6,9.7,0.0,0.0,0.01,-0.51,-1.37,-89.3,9.842301560102698,0
322,0.47,1.58,9.7,0.0,0.0,0.01,-0.34,-1.1,-88.89,9.83907007801042,0
329,0.48,1.59,9.71,0.0,0.0,0.01,0.1,-1.1,-89.61,9.851020251730276,0
336,0.47,1.61,9.71,0.01,0.0,0.02,-0.12,0.58,-83.5,9.853786074398004,0
343,0.47,1.61,9.72,0.01,0.0,0.02,-0.95,-0.53,-88.51,9.863640301633064,0
350,0.48,1.62,9.71,0.02,0.0,0.02,-0.18,-1.1,-87.94,9.85590685832613,0
357,0.46,1.61,9.72,0.02,0.0,0.02,-0.06,-1.34,-88.07,9.863168861983455,0
364,0.46,1.62,9.72,0.02,0.0,0.02,-0.09,-1.11,-88.18,9.864806130887724,0
371,0.46,1.59,9.73,0.02,0.0,0.01,0.28,-1.34,-87.69,9.869782165782588,0
378,0.44,1.58,9.72,0.03,0.0,0.01,0.1,-1.48,-88.09,9.85740330918848,0
