timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label
0,0.0,1.36,9.7,0.02,-0.01,-0.01,-0.04,-0.35,-89.61,9.794876211571026,0
7,0.03,1.43,9.6,0.03,-0.01,-0.02,0.95,-0.26,-89.42,9.705967236705469,0
14,0.02,1.5,9.63,0.03,-0.01,-0.02,0.79,-0.61,-90.13,9.746142826780243,0
21,-0.07,1.72,9.81,0.07,-0.01,-0.02,1.11,-0.63,-89.45,9.959889557620608,0
28,-0.12,1.82,9.96,0.11,-0.01,0.0,0.88,-0.72,-90.03,10.125630844544949,0
35,-0.03,1.83,10.18,0.11,-0.02,-0.0,0.67,-0.88,-90.31,10.34322000152757,0
42,0.04,1.81,10.2,0.11,-0.02,-0.0,0.73,-1.21,-86.99,10.359425659755466,0
49,0.17,1.73,10.01,0.07,-0.03,-0.04,3.64,-1.04,-90.72,10.159817911754129,0
56,0.2,1.67,9.9,0.02,-0.03,-0.07,0.66,-0.72,-90.25,10.041857397912002,0
63,0.22,1.43,9.73,-0.02,-0.02,-0.08,0.39,-0.72,-90.38,9.836981244263914,0
70,0.17,1.33,9.72,-0.02,-0.02,-0.08,0.41,-0.58,-90.65,9.812043619960114,0
77,0.09,1.12,9.72,-0.03,-0.01,-0.06,1.1,-0.42,-90.69,9.784727896063334,0
84,0.09,0.97,9.72,-0.04,-0.01,-0.05,0.67,-0.31,-90.22,9.76869489747735,0
91,0.02,0.85,9.58,-0.05,-0.0,-0.05,-0.38,0.76,-84.93,9.61765563949968,0
98,0.03,0.76,9.5,-0.05,-0.0,-0.05,0.13,-0.7,-89.54,9.530398732477044,0
105,-0.01,0.79,9.47,-0.04,-0.0,-0.05,0.31,-1.36,-89.67,9.50289955750349,0
112,-0.06,0.89,9.56,0.01,-0.0,-0.04,0.91,-0.89,-89.52,9.601525920394112,0
119,-0.15,1.11,9.74,0.06,-0.01,-0.04,0.42,-1.45,-89.96,9.80419298055684,0
126,-0.17,1.16,9.82,0.06,-0.01,-0.04,0.92,-0.72,-89.75,9.88973710469596,0
133,-0.06,1.25,9.89,0.07,-0.01,-0.05,0.63,-1.27,-89.54,9.968861519752394,0
140,0.0,1.34,9.89,0.07,-0.02,-0.08,0.18,-0.67,-84.49,9.980365724761796,0
147,0.15,1.38,9.84,0.06,-0.02,-0.1,-0.15,0.09,-90.11,9.937429245031131,0
154,0.18,1.41,9.84,0.06,-0.02,-0.1,0.63,-1.08,-90.81,9.942137597116629,0
161,0.25,1.41,9.84,0.05,-0.02,-0.11,0.38,-0.92,-90.4,9.94365124086721,0
168,0.24,1.36,9.84,0.03,-0.02,-0.1,0.48,-0.48,-90.35,9.93643799356691,0
175,0.17,1.27,9.78,0.03,-0.01,-0.08,0.53,-0.48,-90.11,9.863579471976692,0
182,0.12,1.21,9.75,0.01,-0.01,-0.08,0.69,-0.32,-88.91,9.825527975635712,0
189,0.04,1.12,9.67,0.0,-0.01,-0.06,-0.26,0.69,-87.28,9.734726498469282,0
196,0.03,1.11,9.66,0.01,-0.01,-0.04,0.54,-0.38,-90.57,9.723610440571958,0
203,-0.0,1.14,9.66,0.01,-0.01,-0.03,0.61,-0.53,-90.3,9.727034491560108,0
210,0.02,1.17,9.68,0.03,-0.01,-0.03,0.44,-0.8,-89.59,9.750471783457456,0
217,0.08,1.56,9.5,0.06,-0.01,-0.05,0.41,-1.14,-89.68,9.627564593395364,0
224,0.11,1.11,9.98,0.07,-0.01,-0.07,0.42,-1.27,-89.97,10.042141205938105,0
231,0.15,1.53,9.81,0.07,-0.01,-0.08,0.51,-0.94,-88.95,9.929728092954006,0
238,0.25,1.43,9.84,0.09,-0.01,-0.08,0.56,1.15,-85.28,9.946506924543913,0
245,0.17,1.58,9.82,0.09,-0.0,-0.08,-0.66,-0.91,-89.54,9.947748488979803,0
252,0.2,1.44,9.88,0.11,0.0,-0.06,0.6,-1.05,-90.4,9.9863907394013,0
259,0.14,1.26,9.81,0.11,0.0,-0.03,0.28,-0.88,-89.7,9.891577225094084,0
266,0.26,1.42,9.68,0.13,0.0,-0.03,0.38,-1.32,-90.79,9.787052671769985,0
273,0.14,1.27,9.67,0.15,-0.0,-0.01,0.18,-1.59,-90.6,9.754045314637407,0
280,0.4,1.43,9.4,0.16,0.0,-0.01,0.85,-0.92,-87.4,9.51655925216672,0
287,0.43,1.07,9.44,0.16,0.0,0.0,-0.23,1.11,-89.59,9.510173499994623,0
294,0.23,1.09,9.46,0.15,0.0,0.0,0.88,-0.83,-91.19,9.525366134695297,0
301,0.25,1.07,9.49,0.19,0.01,0.04,0.26,-1.18,-90.15,9.553402535222729,0
308,0.2,1.06,9.59,0.22,0.01,0.06,0.5,-1.33,-89.75,9.650476672164956,0
