timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label
0,2.83,-0.84,9.31,-0.22,-0.24,-0.66,1.07,0.07,-84.13,9.766811147964315,0
7,2.99,-0.85,9.4,-0.22,-0.24,-0.66,1.58,-1.55,-88.1,9.90063634318522,0
14,3.25,-0.75,9.8,-0.08,-0.18,-0.61,1.52,-1.39,-87.46,10.352052936495255,0
21,3.31,-0.63,10.03,0.05,-0.11,-0.53,1.87,-1.58,-88.07,10.580826999814333,0
28,3.42,-0.19,10.4,0.12,-0.03,-0.43,1.83,-1.7,-88.44,10.949543369474364,0
35,3.4,0.07,10.5,0.12,-0.03,-0.43,1.78,-1.96,-88.41,11.036978753263956,0
42,3.3,0.43,10.46,0.13,0.05,-0.31,1.48,-0.88,-84.32,10.97663427467637,0
49,3.22,0.53,10.38,0.07,0.13,-0.16,0.31,-0.5,-88.91,10.880886912379893,0
56,2.97,0.67,10.05,0.01,0.21,0.03,1.77,-1.46,-88.53,10.50106185107011,0
63,2.77,0.84,9.89,0.01,0.21,0.03,1.48,-1.74,-88.61,10.30488233799882,0
70,2.25,1.22,9.66,-0.01,0.29,0.23,2.06,-1.34,-89.61,9.993322770730463,0
77,1.96,1.42,9.57,-0.0,0.35,0.43,2.12,-1.13,-88.15,9.871317034722368,0
84,1.25,2.01,9.51,-0.0,0.4,0.61,2.48,-1.1,-87.07,9.800137754133868,0
91,0.87,2.28,9.51,-0.0,0.4,0.61,1.84,0.75,-85.37,9.818115908869684,0
98,0.04,2.67,9.61,-0.03,0.44,0.78,2.66,-1.59,-88.23,9.97409645030566,0
105,-0.39,2.87,9.68,-0.07,0.46,0.93,2.95,-1.33,-87.47,10.104028899404437,0
112,-1.25,3.13,9.81,-0.13,0.46,1.04,2.78,-1.48,-88.02,10.372825073238245,0
119,-1.62,3.21,9.86,-0.13,0.46,1.04,2.75,-1.14,-87.64,10.495146497310078,0
126,-2.29,3.28,9.81,-0.2,0.44,1.1,3.03,-1.46,-87.39,10.594272037285052,0
133,-2.58,3.28,9.75,-0.29,0.4,1.09,3.08,-1.3,-87.75,10.605531575550565,0
140,-3.2,2.97,9.66,-0.41,0.34,1.02,3.0,-0.13,-83.47,10.600778273315598,0
147,-3.47,2.75,9.68,-0.41,0.34,1.02,2.34,-1.46,-88.37,10.644519716736871,0
154,-4.04,2.26,9.78,-0.52,0.24,0.9,2.97,-1.23,-88.69,10.82024029308037,0
161,-4.25,1.99,9.88,-0.59,0.13,0.69,2.73,-1.02,-88.61,10.937869993741929,0
168,-4.75,1.26,10.11,-0.6,0.01,0.4,2.66,-0.72,-88.22,11.24109425278518,0
175,-5.01,0.73,10.2,-0.6,0.01,0.4,2.76,-0.69,-88.94,11.387405323426403,0
182,-5.31,-0.08,10.43,-0.58,-0.13,-0.02,2.56,-0.18,-84.14,11.70416165301898,0
189,-5.33,-0.26,10.52,-0.52,-0.29,-0.57,2.05,1.87,-85.52,11.796054425103335,0
