timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
11004,1.37,1.34,9.80,0.07,0.03,0.09,-3.38,-0.29,-91.92
11011,1.38,1.36,9.80,0.07,0.03,0.09,-3.92,-0.53,-91.64
11018,1.36,1.34,9.78,0.06,0.03,0.09,-3.04,-0.42,-92.28
11025,1.36,1.34,9.76,0.05,0.03,0.09,-2.98,0.23,-92.18
11032,1.34,1.31,9.71,0.04,0.03,0.09,-2.72,0.12,-91.36
11039,1.34,1.31,9.70,0.04,0.03,0.09,-3.43,0.53,-91.25
11046,1.32,1.31,9.67,0.03,0.03,0.09,-3.16,-0.07,-91.79
11053,1.29,1.29,9.66,0.03,0.03,0.09,-2.86,-0.06,-86.42
11060,1.28,1.29,9.65,0.03,0.03,0.09,-3.80,1.34,-90.66
11067,1.29,1.26,9.65,0.03,0.03,0.09,-3.26,-0.01,-91.16
11074,1.27,1.24,9.68,0.03,0.02,0.09,-3.20,0.13,-90.60
11081,1.27,1.23,9.69,0.03,0.02,0.09,-3.05,-0.66,-91.13
11088,1.29,1.25,9.73,0.03,0.01,0.08,-3.19,-0.39,-91.10
11095,1.29,1.25,9.76,0.03,0.01,0.08,-3.29,-0.76,-90.51
11102,1.29,1.25,9.78,0.03,0.01,0.07,-3.39,-1.11,-89.75
11109,1.29,1.25,9.79,0.02,0.01,0.05,-4.47,0.99,-87.28
11116,1.26,1.23,9.79,0.01,0.01,0.04,-4.36,-0.82,-90.89
11123,1.26,1.21,9.80,0.01,0.01,0.04,-0.20,-0.70,-91.89
11130,1.28,1.18,9.79,0.01,0.00,0.04,-3.46,-0.61,-91.68
11137,1.27,1.16,9.76,0.00,0.00,0.03,-3.35,-0.56,-91.71
11144,1.28,1.16,9.77,0.00,-0.00,0.02,-2.85,0.06,-91.44
11151,1.31,1.15,9.75,0.00,-0.00,0.02,-2.94,1.87,-87.31
11158,1.33,1.18,9.76,0.01,-0.00,0.02,-3.42,0.35,-91.07
11165,1.34,1.21,9.78,0.01,-0.00,0.03,-3.04,-0.39,-90.78
11172,1.37,1.23,9.80,0.01,-0.01,0.03,-3.20,-0.18,-90.32
11179,1.38,1.22,9.81,0.01,-0.01,0.03,-3.05,-0.29,-90.53
11186,1.40,1.21,9.82,0.00,-0.01,0.04,-2.78,-0.45,-90.65
11193,1.41,1.23,9.82,-0.00,-0.00,0.04,-3.13,-0.70,-90.59
11200,1.42,1.20,9.80,-0.01,-0.00,0.04,-2.94,-0.15,-86.96
11207,1.45,1.16,9.77,-0.01,-0.00,0.04,-3.62,1.52,-88.64
11214,1.44,1.14,9.74,-0.01,0.00,0.04,-2.94,-0.53,-90.63
11221,1.42,1.12,9.73,-0.01,0.00,0.04,-2.94,-0.29,-90.82
11228,1.43,1.11,9.72,-0.00,0.00,0.03,-3.22,-0.50,-91.22
11235,1.44,1.12,9.73,-0.00,0.00,0.03,-2.75,-0.41,-91.10
11242,1.43,1.16,9.72,0.00,0.00,0.03,-3.10,-0.09,-92.24
11249,1.44,1.16,9.73,0.00,0.00,0.03,-3.32,1.61,-87.40
11256,1.43,1.19,9.73,0.00,0.00,0.03,-3.29,0.16,-91.60
