timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
94947,0.49,3.21,9.31,-0.25,0.01,-0.04,-2.28,-7.16,-86.71
94954,0.47,3.05,9.32,-0.26,0.01,-0.04,-2.46,-8.94,-90.84
94961,0.46,2.99,9.32,-0.26,0.01,-0.04,-2.22,-9.13,-90.91
94968,0.44,2.81,9.32,-0.26,0.01,-0.03,-2.25,-8.61,-90.82
94975,0.40,2.71,9.31,-0.25,0.02,-0.01,-1.81,-8.39,-91.16
94982,0.35,2.57,9.27,-0.23,0.02,0.00,-2.09,-8.51,-91.96
94989,0.33,2.50,9.26,-0.23,0.02,0.00,-2.29,-8.83,-92.12
94996,0.28,2.41,9.24,-0.19,0.02,0.02,-2.05,-9.08,-92.72
95003,0.26,2.37,9.22,-0.15,0.01,0.02,-2.29,-8.54,-91.71
95010,0.21,2.41,9.19,-0.09,0.01,0.02,-2.56,-8.42,-92.17
95017,0.21,2.41,9.18,-0.09,0.01,0.02,-2.15,-8.16,-92.53
95024,0.21,2.48,9.18,-0.03,0.00,0.01,-2.05,-8.01,-92.47
95031,0.21,2.56,9.17,0.02,-0.01,0.00,-2.13,-7.91,-92.36
95038,0.28,2.69,9.17,0.08,-0.01,-0.00,-2.28,-7.99,-90.75
95045,0.31,2.77,9.17,0.08,-0.01,-0.00,-3.22,-6.77,-87.65
95052,0.37,2.97,9.20,0.13,-0.02,-0.02,-1.71,-8.29,-91.08
95059,0.42,3.08,9.20,0.17,-0.03,-0.03,-1.37,-8.89,-91.06
95066,0.46,3.30,9.23,0.20,-0.03,-0.03,-1.91,-8.54,-90.97
95073,0.49,3.42,9.22,0.20,-0.03,-0.03,-1.97,-8.71,-90.54
95080,0.49,3.65,9.24,0.21,-0.03,-0.03,-1.87,-8.80,-90.70
95087,0.50,3.74,9.26,0.21,-0.02,-0.01,-1.65,-8.75,-91.51
95094,0.49,3.93,9.29,0.20,-0.02,0.01,-2.06,-7.25,-86.74
95101,0.51,4.00,9.32,0.20,-0.02,0.01,-2.79,-8.36,-91.39
95108,0.49,4.13,9.34,0.17,-0.01,0.03,-2.13,-8.83,-92.09
95115,0.47,4.18,9.32,0.14,-0.01,0.04,-1.89,-8.99,-92.62
95122,0.44,4.21,9.34,0.10,-0.00,0.04,-1.65,-8.64,-92.53
95129,0.43,4.21,9.33,0.10,-0.00,0.04,-1.58,-8.39,-91.96
95136,0.42,4.12,9.33,0.05,-0.00,0.03,-1.62,-8.42,-89.33
95143,0.40,4.08,9.34,0.00,0.00,0.01,-2.62,-6.72,-90.97
95150,0.42,3.96,9.36,-0.04,0.00,0.00,-2.34,-8.74,-92.39
95157,0.39,3.88,9.36,-0.04,0.00,0.00,-1.89,-9.28,-92.05
95164,0.41,3.72,9.37,-0.08,0.00,-0.00,-1.87,-8.65,-91.19
95171,0.40,3.62,9.37,-0.12,0.00,-0.01,-1.96,-9.06,-91.10
95178,0.42,3.43,9.33,-0.14,0.01,-0.01,-1.70,-8.87,-91.00
95185,0.41,3.32,9.31,-0.14,0.01,-0.01,-1.84,-9.11,-91.00
95192,0.40,3.12,9.29,-0.16,0.01,-0.01,-1.89,-7.29,-87.11
95199,0.39,3.05,9.28,-0.16,0.01,-0.00,-2.76,-8.30,-91.35
95206,0.37,2.89,9.28,-0.15,0.01,0.00,-1.67,-8.71,-92.37
95213,0.37,2.81,9.29,-0.15,0.01,0.00,-1.87,-8.74,-92.17
95220,0.35,2.69,9.27,-0.13,0.01,0.00,-1.81,-8.59,-92.18
95227,0.31,2.65,9.27,-0.11,0.01,0.01,-1.51,-8.46,-91.51
95234,0.31,2.56,9.25,-0.07,0.00,0.01,-1.36,-7.99,-87.50
95241,0.32,2.54,9.24,-0.07,0.00,0.01,-2.09,-6.94,-92.53
95248,0.32,2.54,9.23,-0.04,0.00,0.00,-1.62,-8.11,-92.69
95255,0.32,2.54,9.24,0.00,-0.00,0.00,-1.10,-8.07,-91.86
95262,0.34,2.59,9.25,0.05,-0.00,0.00,-1.59,-8.24,-91.74
95269,0.33,2.65,9.26,0.05,-0.00,0.00,-1.37,-8.33,-91.77
95276,0.36,2.76,9.25,0.08,-0.01,0.00,-1.75,-8.61,-92.02
95283,0.38,2.81,9.26,0.11,-0.01,0.00,-1.77,-8.73,-91.19
95290,0.39,2.96,9.25,0.14,-0.01,0.01,-2.22,-6.87,-87.39
95297,0.40,3.06,9.26,0.14,-0.01,0.01,-2.31,-8.96,-91.86
95304,0.43,3.21,9.27,0.16,-0.01,0.01,-1.64,-8.93,-91.79
95311,0.41,3.28,9.28,0.17,-0.01,0.01,-1.74,-8.92,-92.17
95318,0.41,3.41,9.29,0.17,-0.01,0.01,-2.24,-9.18,-92.06
95325,0.42,3.48,9.29,0.17,-0.01,0.01,-2.10,-9.00,-92.21
95332,0.41,3.59,9.29,0.16,-0.01,0.01,-2.00,-8.24,-86.73
95339,0.41,3.64,9.29,0.15,-0.01,0.01,-2.51,-8.39,-92.24
95346,0.38,3.71,9.31,0.13,-0.01,0.01,-1.83,-8.73,-92.15
95353,0.38,3.74,9.31,0.13,-0.01,0.01,-1.68,-8.46,-92.22
