timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
24486,-0.33,2.48,9.62,0.06,0.00,0.01,2.62,-4.74,-89.37
24493,-0.34,2.54,9.64,0.05,0.00,0.01,3.23,-4.91,-89.21
24500,-0.34,2.67,9.67,0.03,0.00,0.00,3.48,-4.56,-90.03
24507,-0.34,2.72,9.69,0.03,0.00,0.00,2.86,-4.69,-89.67
24514,-0.33,2.78,9.72,0.01,0.00,0.00,3.23,-4.84,-89.40
24521,-0.33,2.77,9.72,-0.03,0.00,-0.00,2.70,-4.71,-88.66
24528,-0.35,2.72,9.68,-0.07,0.00,-0.01,2.85,-4.43,-90.16
24535,-0.33,2.71,9.66,-0.07,0.00,-0.01,2.89,-3.89,-90.51
24542,-0.33,2.68,9.66,-0.10,0.00,-0.01,2.78,-3.89,-90.38
24549,-0.32,2.65,9.67,-0.13,0.00,-0.02,2.98,-4.40,-89.94
24556,-0.32,2.57,9.67,-0.15,0.00,-0.02,2.88,-4.31,-89.45
24563,-0.32,2.51,9.64,-0.15,0.00,-0.02,3.10,-4.44,-89.61
24570,-0.31,2.38,9.64,-0.17,0.00,-0.02,2.92,-3.93,-89.92
24577,-0.29,2.31,9.64,-0.19,0.00,-0.02,2.60,-2.50,-84.99
24584,-0.30,2.12,9.61,-0.20,0.00,-0.02,2.75,-2.41,-84.89
24591,-0.28,2.01,9.59,-0.20,0.00,-0.02,2.13,-4.55,-89.20
24598,-0.30,1.82,9.58,-0.20,0.01,-0.02,3.22,-4.21,-89.48
24605,-0.32,1.73,9.56,-0.19,0.01,-0.01,2.98,-4.25,-89.56
24612,-0.35,1.56,9.57,-0.16,0.00,-0.01,2.98,-4.03,-89.45
24619,-0.33,1.49,9.57,-0.16,0.00,-0.01,3.19,-3.98,-89.68
24626,-0.36,1.42,9.58,-0.14,0.00,-0.01,3.20,-4.14,-85.27
24633,-0.36,1.43,9.60,-0.10,0.00,-0.01,2.21,-3.68,-90.32
24640,-0.35,1.44,9.60,-0.07,0.00,-0.01,3.11,-3.61,-90.56
24647,-0.31,1.42,9.59,-0.07,0.00,-0.01,3.01,-3.19,-90.43
24654,-0.28,1.45,9.59,-0.05,-0.00,-0.01,3.39,-3.05,-91.01
24661,-0.27,1.45,9.56,-0.02,-0.00,-0.00,3.55,-3.19,-90.49
24668,-0.28,1.43,9.56,0.02,-0.00,0.00,3.45,-3.04,-89.14
24675,-0.28,1.45,9.59,0.02,-0.00,0.00,2.63,-2.08,-85.14
24682,-0.34,1.49,9.61,0.05,0.00,0.01,3.19,-3.73,-89.65
24689,-0.35,1.52,9.62,0.08,0.00,0.01,3.04,-4.17,-89.13
24696,-0.37,1.63,9.62,0.10,-0.00,0.01,3.43,-4.14,-89.37
24703,-0.36,1.70,9.62,0.10,-0.00,0.01,3.20,-4.09,-89.17
24710,-0.33,1.97,9.64,0.12,-0.00,0.00,3.29,-4.05,-89.01
24717,-0.34,2.14,9.67,0.13,-0.00,0.00,3.58,-4.59,-89.61
24724,-0.32,2.46,9.72,0.12,-0.01,0.00,2.98,-3.41,-85.19
24731,-0.29,2.61,9.74,0.12,-0.01,0.00,2.48,-3.67,-89.62
24738,-0.26,2.84,9.75,0.10,-0.00,0.01,2.91,-4.69,-89.97
24745,-0.27,2.92,9.74,0.05,-0.00,0.01,2.94,-3.87,-90.02
24752,-0.25,3.06,9.73,0.01,-0.00,0.02,3.39,-3.92,-90.02
24759,-0.27,3.11,9.74,0.01,-0.00,0.02,3.51,-3.62,-90.12
24766,-0.29,3.18,9.77,-0.04,0.00,0.02,3.38,-3.48,-87.27
24773,-0.30,3.14,9.77,-0.10,0.00,0.02,2.54,-2.63,-87.66
24780,-0.29,2.90,9.71,-0.16,0.01,0.01,3.43,-4.05,-89.99
24787,-0.28,2.70,9.68,-0.16,0.01,0.01,3.42,-4.08,-89.64
