timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
79955,0.14,2.78,9.46,0.01,0.03,0.11,1.23,-4.02,-84.83
79962,0.12,2.72,9.46,0.01,0.03,0.09,0.06,-4.36,-90.03
79969,0.11,2.70,9.46,0.01,0.03,0.08,0.98,-5.19,-89.96
79976,0.14,2.62,9.49,0.01,0.03,0.07,1.15,-5.01,-89.11
79983,0.14,2.60,9.49,0.01,0.03,0.07,1.49,-4.85,-89.10
79990,0.16,2.51,9.52,0.01,0.03,0.06,1.27,-5.23,-88.99
79997,0.17,2.45,9.54,0.00,0.03,0.06,1.20,-5.03,-88.88
80004,0.20,2.34,9.53,0.00,0.03,0.06,1.64,-5.09,-84.77
80011,0.20,2.29,9.52,-0.00,0.03,0.06,-0.04,-3.92,-87.68
80018,0.21,2.21,9.51,-0.00,0.03,0.06,1.10,-5.76,-89.29
80025,0.19,2.19,9.51,0.00,0.03,0.07,1.40,-5.41,-88.92
80032,0.15,2.20,9.53,0.00,0.03,0.07,1.65,-5.54,-88.78
80039,0.13,2.23,9.56,0.01,0.04,0.07,1.40,-5.77,-89.29
80046,0.08,2.32,9.56,0.02,0.04,0.08,1.17,-5.55,-89.39
80053,0.03,2.36,9.58,0.02,0.04,0.09,1.32,-5.60,-90.25
80060,-0.00,2.44,9.59,0.02,0.04,0.10,0.58,-4.27,-86.09
80067,-0.02,2.46,9.57,0.01,0.04,0.10,1.18,-5.60,-90.15
80074,-0.06,2.53,9.56,0.00,0.03,0.10,1.23,-5.06,-89.40
80081,-0.08,2.58,9.52,-0.00,0.03,0.09,1.39,-5.70,-89.26
80088,-0.09,2.62,9.51,-0.00,0.03,0.07,1.58,-5.61,-89.92
80095,-0.06,2.63,9.49,-0.01,0.02,0.07,1.21,-5.29,-89.58
80102,-0.06,2.66,9.49,-0.00,0.02,0.05,1.17,-4.38,-84.92
80109,-0.05,2.67,9.48,0.00,0.01,0.02,0.42,-3.73,-88.83
80116,-0.03,2.70,9.48,0.00,0.01,-0.01,1.42,-5.51,-88.66
80123,0.01,2.68,9.49,0.01,0.00,-0.01,1.32,-5.67,-88.53
80130,0.04,2.67,9.51,0.01,0.00,-0.03,1.10,-5.76,-88.86
80137,0.05,2.65,9.52,0.01,-0.00,-0.04,1.89,-5.69,-88.59
80144,0.10,2.56,9.52,0.01,-0.00,-0.05,1.39,-5.82,-88.32
80151,0.13,2.52,9.51,0.01,-0.01,-0.05,1.40,-5.93,-87.20
80158,0.14,2.46,9.50,0.02,-0.01,-0.05,1.10,-3.77,-86.42
80165,0.13,2.45,9.47,0.02,-0.01,-0.04,1.83,-5.64,-89.43
80172,0.15,2.39,9.46,0.02,-0.01,-0.03,1.21,-5.90,-89.14
80179,0.12,2.37,9.47,0.03,-0.01,-0.03,1.29,-5.67,-89.73
80186,0.11,2.39,9.48,0.05,-0.01,-0.02,1.15,-5.44,-89.73
80193,0.09,2.44,9.48,0.06,-0.01,-0.01,1.11,-5.22,-89.68
80200,0.10,2.54,9.50,0.06,-0.01,-0.01,1.23,-3.73,-84.84
80207,0.08,2.56,9.49,0.08,-0.01,-0.01,1.17,-5.76,-90.30
80214,0.13,2.63,9.49,0.08,-0.01,-0.01,1.93,-5.52,-89.71
80221,0.13,2.64,9.46,0.08,-0.01,-0.00,1.68,-5.76,-89.64
80228,0.16,2.67,9.45,0.08,-0.01,0.00,1.53,-6.12,-89.80
80235,0.15,2.65,9.44,0.09,-0.01,0.00,1.51,-6.58,-89.33
80242,0.17,2.64,9.45,0.10,-0.01,0.01,1.29,-6.21,-89.10
80249,0.16,2.62,9.44,0.11,-0.01,0.01,1.24,-5.96,-85.71
80256,0.13,2.61,9.44,0.11,-0.01,0.01,0.48,-4.88,-87.49
80263,0.12,2.62,9.46,0.11,-0.01,0.01,1.27,-6.33,-89.46
80270,0.12,2.63,9.48,0.12,-0.01,0.02,1.15,-6.33,-89.51
80277,0.10,2.64,9.49,0.13,-0.01,0.02,1.07,-6.58,-89.33
80284,0.09,2.64,9.50,0.13,-0.01,0.02,1.11,-6.50,-90.09
80291,0.08,2.63,9.49,0.13,-0.01,0.02,1.23,-6.62,-89.67
80298,0.07,2.64,9.51,0.13,-0.01,0.01,0.00,-4.68,-84.90
80305,0.07,2.61,9.50,0.13,-0.01,0.01,1.30,-5.85,-90.15
80312,0.05,2.62,9.46,0.13,-0.01,0.01,1.17,-5.79,-89.49
80319,0.08,2.62,9.45,0.13,-0.01,0.00,1.46,-6.04,-89.16
80326,0.08,2.60,9.42,0.13,-0.01,-0.01,1.53,-6.09,-89.99
80333,0.07,2.61,9.43,0.14,-0.01,-0.01,1.72,-6.36,-88.78
80340,0.11,2.64,9.44,0.14,-0.01,-0.01,1.15,-6.56,-88.41
80347,0.15,2.65,9.44,0.15,-0.02,-0.02,1.05,-6.45,-84.86
80354,0.16,2.73,9.43,0.15,-0.02,-0.01,0.44,-5.71,-88.45
80361,0.19,2.76,9.46,0.16,-0.02,-0.00,1.40,-6.64,-87.64
80368,0.22,2.83,9.44,0.16,-0.02,-0.00,1.26,-7.15,-88.53
80375,0.25,2.88,9.45,0.16,-0.02,0.01,1.34,-7.21,-88.79
80382,0.23,2.97,9.46,0.16,-0.01,0.02,1.14,-7.10,-89.20
80389,0.24,3.01,9.45,0.16,-0.01,0.04,1.04,-7.03,-89.90
80396,0.21,3.13,9.48,0.16,-0.01,0.04,0.79,-7.44,-88.32
80403,0.19,3.14,9.48,0.15,-0.01,0.05,1.15,-6.62,-89.77
80410,0.17,3.18,9.44,0.14,-0.00,0.05,0.94,-6.99,-89.78
80417,0.15,3.17,9.42,0.12,0.00,0.06,1.05,-6.61,-89.78
80424,0.15,3.11,9.40,0.12,0.00,0.06,1.07,-7.00,-89.93
80431,0.14,3.07,9.40,0.11,0.00,0.06,0.79,-6.61,-89.46
80438,0.14,3.05,9.39,0.10,0.00,0.05,0.77,-6.94,-89.24
80445,0.12,3.01,9.42,0.10,0.00,0.04,1.04,-5.31,-84.86
80452,0.10,3.01,9.45,0.10,0.00,0.04,0.88,-7.29,-88.97
80459,0.08,3.01,9.45,0.09,0.00,0.02,1.26,-7.45,-88.41
80466,0.07,3.00,9.45,0.09,-0.00,0.01,0.75,-7.91,-88.51
80473,0.09,2.98,9.45,0.09,-0.00,0.00,0.94,-7.23,-88.41
80480,0.13,3.01,9.44,0.09,-0.00,0.00,1.04,-7.40,-88.48
80487,0.16,3.04,9.44,0.08,-0.00,0.00,1.32,-7.38,-88.18
80494,0.21,3.12,9.47,0.08,-0.01,-0.00,1.01,-7.63,-84.58
80501,0.23,3.18,9.48,0.07,-0.00,0.00,0.32,-6.74,-87.68
80508,0.28,3.23,9.45,0.07,-0.00,0.00,0.89,-7.56,-89.29
