timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
61401,4.51,-1.77,8.64,-0.02,-0.01,-0.02
61407,4.51,-1.77,8.64,-0.02,-0.01,-0.02
61413,4.58,-1.79,8.63,-0.01,-0.01,-0.01
61419,4.61,-1.78,8.68,-0.01,-0.01,-0.01
61425,4.61,-1.78,8.68,0.01,-0.01,-0.00
61431,4.60,-1.72,8.75,0.02,-0.00,0.00
61437,4.60,-1.72,8.75,0.02,-0.00,0.00
61443,4.56,-1.63,8.80,0.02,0.00,0.01
61449,4.52,-1.55,8.82,0.01,0.00,0.02
61455,4.52,-1.55,8.82,0.01,0.00,0.02
61461,4.49,-1.54,8.78,-0.01,0.00,0.04
61467,4.48,-1.61,8.73,-0.01,0.00,0.06
61473,4.48,-1.61,8.73,-0.01,0.00,0.06
61479,4.47,-1.70,8.70,-0.01,0.00,0.08
61485,4.46,-1.83,8.72,-0.01,0.00,0.10
61491,4.46,-1.83,8.72,-0.01,0.00,0.10
61497,4.43,-1.96,8.71,-0.01,0.01,0.10
61503,4.38,-2.01,8.72,-0.01,0.01,0.10
61509,4.38,-2.01,8.72,0.00,0.01,0.10
61515,4.31,-1.97,8.77,0.03,0.01,0.08
61521,4.31,-1.97,8.77,0.03,0.01,0.08
61527,4.27,-1.88,8.83,0.04,0.02,0.06
61533,4.25,-1.72,8.88,0.05,0.02,0.05
61539,4.25,-1.72,8.88,0.05,0.02,0.05
61545,4.25,-1.58,8.88,0.04,0.02,0.03
61551,4.31,-1.49,8.87,0.02,0.02,0.02
61557,4.31,-1.49,8.87,0.02,0.02,0.02
61563,4.36,-1.46,8.81,0.00,0.02,0.03
61569,4.42,-1.56,8.78,-0.01,0.02,0.04
61575,4.42,-1.56,8.78,-0.01,0.02,0.04
61581,4.42,-1.70,8.75,-0.02,0.02,0.05
61587,4.42,-1.81,8.75,-0.02,0.02,0.05
61593,4.36,-1.81,8.75,-0.01,0.02,0.06
61599,4.25,-1.88,8.78,0.00,0.02,0.07
61605,4.25,-1.88,8.78,0.00,0.02,0.07
61611,4.10,-1.86,8.83,0.02,0.02,0.07
61617,4.00,-1.80,8.85,0.03,0.02,0.06
61623,4.00,-1.80,8.85,0.03,0.02,0.06
61629,3.94,-1.76,8.88,0.03,0.01,0.04
61635,3.97,-1.74,8.90,0.03,0.00,0.01
61641,3.97,-1.74,8.90,0.03,0.00,0.01
61647,4.09,-1.70,8.89,0.03,-0.00,-0.02
61653,4.23,-1.67,8.88,0.03,-0.00,-0.04
61659,4.23,-1.67,8.88,0.03,-0.00,-0.04
61665,4.40,-1.64,8.85,0.02,-0.00,-0.05
61671,4.40,-1.62,8.84,0.02,-0.00,-0.05
61677,4.54,-1.62,8.84,0.02,0.00,-0.05
61683,4.63,-1.62,8.83,0.02,0.01,-0.04
61689,4.63,-1.62,8.83,0.02,0.01,-0.04
61695,4.65,-1.60,8.81,0.02,0.01,-0.02
61701,4.62,-1.60,8.80,0.02,0.02,-0.00
61707,4.62,-1.60,8.80,0.02,0.02,-0.00
61713,4.54,-1.62,8.78,0.01,0.03,0.02
61719,4.44,-1.65,8.78,0.01,0.03,0.04
61725,4.44,-1.65,8.78,0.01,0.03,0.04
61731,4.37,-1.72,8.75,0.01,0.03,0.05
61737,4.34,-1.78,8.74,0.01,0.03,0.04
61743,4.34,-1.78,8.74,0.01,0.03,0.04
61749,4.30,-1.81,8.77,0.02,0.03,0.03
61755,4.30,-1.81,8.80,0.02,0.03,0.03
61761,4.33,-1.81,8.80,0.03,0.03,0.02
61767,4.41,-1.82,8.87,0.03,0.03,0.01
61773,4.41,-1.82,8.87,0.03,0.03,0.01
61779,4.49,-1.81,8.94,0.04,0.04,0.00
61785,4.56,-1.78,8.96,0.04,0.05,-0.00
