timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
40805,-0.31,1.26,10.06,0.09,-0.02,-0.03,1.36,0.94,-90.18
40812,-0.30,1.26,10.03,0.08,-0.03,-0.05,1.17,1.24,-87.69
40819,-0.25,1.20,9.96,0.08,-0.03,-0.08,0.58,2.78,-88.57
40826,-0.18,1.19,9.94,0.06,-0.04,-0.08,1.65,0.56,-89.75
40833,-0.05,1.14,9.90,0.06,-0.05,-0.11,0.73,0.89,-90.06
40840,0.02,1.17,9.88,0.06,-0.06,-0.11,1.14,0.85,-89.78
40847,0.16,1.20,9.87,0.06,-0.06,-0.12,1.27,0.50,-89.61
40854,0.22,1.23,9.86,0.06,-0.06,-0.12,1.26,0.64,-89.96
40861,0.28,1.27,9.83,0.06,-0.06,-0.10,0.98,0.61,-90.24
40868,0.26,1.29,9.82,0.06,-0.05,-0.07,0.38,2.09,-85.60
40875,0.19,1.30,9.80,0.06,-0.05,-0.07,1.01,0.28,-91.13
40882,0.11,1.29,9.78,0.05,-0.03,-0.03,1.11,0.80,-90.47
40889,-0.01,1.26,9.80,0.05,-0.02,0.01,1.15,0.99,-90.89
40896,-0.08,1.28,9.80,0.06,-0.01,0.05,1.11,1.14,-91.13
40903,-0.25,1.28,9.86,0.06,-0.01,0.05,1.13,1.32,-90.82
40910,-0.30,1.28,9.90,0.07,0.00,0.07,1.13,1.72,-85.62
40917,-0.35,1.33,9.97,0.08,0.00,0.07,-0.13,2.38,-91.20
40924,-0.37,1.36,10.01,0.08,-0.00,0.05,0.95,0.91,-90.84
40931,-0.36,1.43,10.03,0.08,-0.00,0.05,0.91,0.92,-90.41
40938,-0.35,1.43,10.02,0.07,-0.01,0.02,1.04,0.18,-90.53
40945,-0.27,1.48,9.95,0.05,-0.02,-0.02,0.94,0.64,-90.43
40952,-0.23,1.46,9.89,0.04,-0.02,-0.04,1.10,0.47,-90.31
40959,-0.21,1.47,9.80,0.04,-0.02,-0.04,0.98,0.48,-89.07
40966,-0.20,1.47,9.77,0.02,-0.02,-0.05,-0.10,2.37,-87.05
40973,-0.18,1.42,9.70,0.01,-0.03,-0.04,1.14,0.94,-91.46
