timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
12223,0.54,0.60,9.85,-0.03,-0.03,-0.04,0.56,1.93,-84.41
12230,0.56,0.61,9.85,-0.03,-0.03,-0.04,1.24,0.64,-89.37
12237,0.57,0.61,9.85,-0.02,-0.03,-0.03,1.36,0.94,-88.63
12244,0.58,0.60,9.87,-0.02,-0.03,-0.03,1.13,0.85,-88.75
12251,0.59,0.59,9.85,-0.02,-0.03,-0.02,1.45,1.01,-88.51
12258,0.58,0.56,9.86,-0.02,-0.03,-0.01,1.23,0.82,-88.34
12265,0.59,0.55,9.84,-0.01,-0.04,-0.00,1.30,0.72,-87.81
12272,0.60,0.54,9.85,-0.01,-0.04,-0.00,1.17,0.75,-82.11
12279,0.63,0.56,9.84,-0.01,-0.04,-0.00,0.67,2.00,-87.17
12286,0.63,0.55,9.85,-0.00,-0.04,-0.01,1.20,0.64,-87.26
12293,0.64,0.60,9.86,0.00,-0.04,-0.01,1.56,0.09,-87.37
12300,0.64,0.62,9.85,0.00,-0.04,-0.01,0.88,0.63,-87.71
12307,0.68,0.65,9.86,0.00,-0.04,-0.01,1.36,0.39,-88.38
12314,0.68,0.65,9.87,0.00,-0.04,-0.01,0.99,-0.06,-88.03
12321,0.69,0.68,9.87,0.00,-0.04,-0.01,1.45,0.26,-86.98
12328,0.73,0.67,9.85,0.00,-0.04,-0.01,0.31,1.83,-88.42
12335,0.73,0.65,9.84,-0.00,-0.04,-0.00,0.89,0.38,-87.83
12342,0.72,0.67,9.82,-0.00,-0.04,0.01,1.42,0.76,-88.64
12349,0.74,0.64,9.80,0.00,-0.04,0.01,1.36,1.02,-89.07
12356,0.73,0.65,9.79,0.00,-0.04,0.01,0.96,0.99,-89.07
12363,0.73,0.66,9.80,0.00,-0.04,0.02,1.30,1.39,-88.80
12370,0.71,0.65,9.82,0.01,-0.04,0.02,0.89,2.73,-84.10
12377,0.69,0.64,9.82,0.02,-0.04,0.02,0.42,1.21,-87.66
12384,0.71,0.63,9.84,0.02,-0.04,0.02,1.42,0.73,-87.69
12391,0.68,0.63,9.85,0.02,-0.03,0.02,1.72,0.67,-88.15
