timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
22810,1.81,4.96,8.39,-0.01,-0.00,-0.00,-18.88,-93.55
22817,1.85,4.97,8.40,-0.01,-0.00,-0.00,-18.87,-93.28
22824,1.85,5.01,8.40,-0.01,-0.01,-0.01,-18.56,-93.12
22831,1.85,5.02,8.40,-0.02,-0.01,-0.01,-18.63,-93.00
22838,1.87,5.00,8.40,-0.03,-0.01,-0.00,-18.61,-93.10
22845,1.85,4.99,8.40,-0.03,-0.01,-0.00,-19.16,-91.32
22852,1.80,4.97,8.41,-0.04,-0.01,0.00,-19.28,-93.77
22859,1.78,4.98,8.39,-0.05,-0.01,0.00,-18.93,-93.54
22866,1.78,4.94,8.39,-0.05,-0.01,0.00,-19.32,-93.45
22873,1.74,4.93,8.38,-0.05,-0.01,0.00,-18.72,-93.42
22880,1.73,4.91,8.37,-0.06,-0.01,-0.00,-18.61,-93.36
22887,1.75,4.91,8.38,-0.06,-0.01,-0.02,-18.90,-93.10
22894,1.78,4.92,8.38,-0.07,-0.02,-0.03,-19.23,-91.99
22901,1.80,4.90,8.37,-0.07,-0.02,-0.03,-19.35,-93.58
22908,1.86,4.89,8.36,-0.07,-0.02,-0.04,-18.85,-93.39
22915,1.88,4.87,8.36,-0.07,-0.02,-0.05,-18.58,-93.01
22922,1.93,4.87,8.34,-0.07,-0.02,-0.06,-18.96,-93.00
22929,1.96,4.87,8.33,-0.07,-0.02,-0.06,-18.56,-93.00
22936,1.98,4.83,8.32,-0.07,-0.02,-0.05,-18.55,-92.06
22943,1.97,4.79,8.31,-0.06,-0.01,-0.04,-19.01,-91.17
22950,1.95,4.77,8.33,-0.05,-0.01,-0.02,-19.03,-93.23
22957,1.91,4.75,8.34,-0.05,-0.01,-0.02,-18.43,-93.28
22964,1.85,4.72,8.35,-0.05,-0.01,-0.01,-18.62,-93.23
22971,1.84,4.72,8.36,-0.04,-0.01,-0.00,-18.84,-93.38
22978,1.81,4.69,8.38,-0.03,-0.01,-0.00,-18.56,-93.32
22985,1.79,4.70,8.38,-0.03,-0.01,-0.00,-18.75,-93.45
22992,1.80,4.71,8.36,-0.02,-0.01,-0.01,-19.58,-92.11
22999,1.81,4.73,8.38,-0.01,-0.01,-0.02,-18.81,-93.32
