timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label
0,0.77,2.92,9.37,-0.01,-0.0,-0.01,-14.5,-83.53,,9.8446025821259,0
7,0.73,2.89,9.37,-0.01,0.0,0.01,-14.24,-84.04,,9.832695459537025,0
14,0.62,2.87,9.39,-0.01,0.0,0.03,-13.94,-84.01,,9.838363685085035,0
21,0.56,2.87,9.39,-0.01,0.0,0.03,-14.34,-84.7,,9.834764867550216,0
28,0.5,2.91,9.43,-0.0,0.01,0.04,-14.16,-84.23,,9.881447262420622,0
35,0.48,2.95,9.43,-0.0,0.01,0.04,-14.25,-84.39,,9.892310144753854,0
42,0.5,3.03,9.44,-0.0,0.01,0.02,-14.37,-82.48,,9.926958245102073,0
49,0.5,3.05,9.45,0.0,0.0,0.02,-14.82,-84.27,,9.942585176904444,0
56,0.54,3.08,9.45,-0.0,0.0,0.01,-14.09,-84.46,,9.953918826271387,0
63,0.56,3.08,9.45,-0.01,0.0,-0.0,-14.47,-84.1,,9.955023857329524,0
70,0.59,3.07,9.43,-0.01,0.0,-0.01,-14.12,-84.45,,9.934681675826356,0
77,0.61,3.05,9.42,-0.02,0.0,-0.01,-14.54,-84.19,,9.920231852129264,0
84,0.64,2.98,9.43,-0.03,0.0,-0.0,-13.93,-83.62,,9.910343081851403,0
91,0.64,2.94,9.42,-0.03,0.0,0.0,-15.07,-81.79,,9.888862421937116,0
98,0.64,2.91,9.42,-0.03,0.0,0.01,-14.15,-83.22,,9.8799848178021,0
105,0.64,2.89,9.41,-0.03,0.0,0.01,-14.06,-83.12,,9.864572976059328,0
112,0.61,2.88,9.41,-0.03,0.0,0.01,-14.43,-83.67,,9.859746447044165,0
119,0.6,2.87,9.41,-0.03,0.01,0.02,-14.06,-83.7,,9.856216312561328,0
126,0.59,2.87,9.4,-0.03,0.01,0.03,-13.86,-83.62,,9.846065203927914,0
133,0.59,2.86,9.4,-0.03,0.01,0.03,-14.29,-83.41,,9.84315498201669,0
140,0.58,2.88,9.42,-0.03,0.01,0.03,-14.5,-82.15,,9.867481948298664,0
147,0.57,2.88,9.42,-0.03,0.01,0.03,-14.02,-83.34,,9.866899208971375,0
154,0.56,2.9,9.42,-0.03,0.01,0.03,-13.96,-83.38,,9.872183142547549,0
161,0.56,2.89,9.41,-0.02,0.01,0.03,-14.18,-83.37,,9.859705877966135,0
168,0.57,2.88,9.41,-0.02,0.01,0.02,-14.5,-83.29,,9.85735258576054,0
175,0.56,2.87,9.4,-0.03,0.01,0.03,-14.28,-84.03,,9.844313079133556,0
182,0.55,2.84,9.4,-0.03,0.01,0.03,-14.53,-83.56,,9.835044483885165,0
189,0.56,2.83,9.41,-0.03,0.01,0.03,-14.6,-83.25,,9.84228631975315,0
196,0.54,2.82,9.41,-0.02,0.01,0.02,-14.56,-83.43,,9.838297616966058,0
203,0.56,2.83,9.43,-0.02,0.01,0.02,-13.8,-83.54,,9.861409635543998,0
210,0.56,2.8,9.42,-0.02,0.01,0.02,-14.53,-83.53,,9.843271813782245,0
217,0.56,2.81,9.42,-0.02,0.01,0.02,-14.15,-83.19,,9.846121063647349,0
224,0.58,2.79,9.42,-0.01,0.0,0.01,-14.47,-83.21,,9.841590318642613,0
231,0.56,2.8,9.41,-0.01,0.0,0.01,-14.41,-83.44,,9.83370225296658,0
238,0.55,2.82,9.42,-0.01,0.0,0.01,-14.6,-82.11,,9.848416116310275,0
245,0.56,2.82,9.44,-0.01,0.0,0.01,-14.07,-83.43,,9.868110254754958,0
252,0.55,2.84,9.43,-0.0,0.0,0.0,-14.38,-84.14,,9.863721407258012,0
259,0.56,2.86,9.43,-0.0,0.0,0.0,-14.15,-83.82,,9.87006079008635,0
266,0.54,2.85,9.43,-0.0,0.0,0.0,-14.13,-84.01,,9.866052908838467,0
273,0.53,2.87,9.43,-0.0,0.0,0.0,-14.03,-83.84,,9.871306904356688,0
280,0.53,2.85,9.43,-0.01,0.0,-0.0,-14.35,-83.97,,9.865510630474228,0
287,0.54,2.86,9.43,-0.01,0.0,-0.0,-14.31,-81.95,,9.86894624567385,0
294,0.55,2.85,9.44,-0.01,0.0,-0.0,-14.88,-84.11,,9.876163222628511,0
301,0.56,2.84,9.44,-0.01,0.0,-0.01,-14.09,-83.72,,9.873844236162528,0
308,0.57,2.84,9.45,-0.01,0.0,-0.01,-14.43,-83.85,,9.883976932389109,0
315,0.56,2.84,9.44,-0.01,0.0,-0.01,-14.45,-83.51,,9.873844236162528,0
322,0.59,2.8,9.42,-0.01,0.0,-0.01,-14.28,-83.34,,9.845024123891216,0
329,0.57,2.8,9.39,-0.01,-0.0,-0.01,-14.22,-83.66,,9.815141364239237,0
336,0.56,2.81,9.42,-0.01,0.0,-0.01,-14.85,-81.54,,9.846121063647349,0
343,0.57,2.83,9.44,-0.0,0.0,-0.01,-13.52,-83.97,,9.871544965201748,0
350,0.59,2.85,9.47,-0.0,0.0,-0.01,-13.99,-83.66,,9.907143887114994,0
357,0.59,2.85,9.46,-0.0,0.0,-0.01,-14.26,-84.07,,9.897585564166649,0
364,0.6,2.84,9.44,-0.0,0.0,-0.0,-14.25,-84.08,,9.87619359875048,0
371,0.58,2.85,9.43,-0.01,0.0,-0.0,-13.93,-84.22,,9.868323059162584,0
378,0.61,2.86,9.42,-0.01,0.0,-0.0,-14.44,-84.08,,9.863473019175345,0
385,0.62,2.87,9.43,-0.01,0.0,0.0,-14.7,-83.19,,9.87654797993712,0
392,0.57,2.85,9.45,-0.01,0.0,0.01,-14.1,-84.23,,9.886854909423926,0
399,0.53,2.85,9.44,-0.02,0.0,0.01,-14.31,-84.17,,9.87506962000775,0
406,0.53,2.83,9.46,-0.02,0.0,0.01,-14.16,-84.17,,9.888447805393929,0
413,0.51,2.86,9.46,-0.02,0.0,0.01,-14.19,-84.14,,9.896024454294766,0
420,0.54,2.92,9.49,-0.02,0.0,0.01,-14.28,-83.65,,9.943746778754978,0
427,0.58,2.95,9.48,-0.03,-0.0,0.01,-14.26,-83.16,,9.94531548016452,0
434,0.62,2.92,9.44,-0.03,-0.0,0.01,-14.7,-82.61,,9.90072724601582,0
441,0.64,2.87,9.4,-0.04,-0.0,0.02,-13.61,-83.57,,9.849187783771818,0
448,0.62,2.77,9.39,-0.04,-0.0,0.02,-13.86,-83.72,,9.809658505778884,0
455,0.58,2.73,9.39,-0.04,-0.0,0.02,-13.72,-83.65,,9.79598897508567,0
462,0.54,2.69,9.41,-0.04,-0.0,0.02,-13.9,-83.65,,9.801826360428958,0
469,0.55,2.68,9.43,-0.02,0.0,0.02,-13.93,-83.44,,9.818849219740567,0
476,0.54,2.66,9.42,-0.01,0.0,0.01,-13.8,-83.44,,9.803244360924602,0
483,0.53,2.66,9.42,-0.01,0.0,0.0,-14.85,-82.18,,9.802698608036463,0
490,0.55,2.69,9.42,-0.01,0.0,0.0,-13.58,-83.44,,9.811982470428696,0
497,0.54,2.71,9.42,-0.01,-0.0,-0.0,-13.56,-83.62,,9.816929255118426,0
504,0.55,2.77,9.43,0.0,-0.0,-0.0,-13.8,-83.84,,9.843794999897142,0
511,0.54,2.78,9.43,0.01,-0.0,-0.0,-13.71,-83.53,,9.846060125755884,0
518,0.52,2.82,9.45,0.01,-0.0,-0.0,-13.33,-83.88,,9.875489861267642,0
525,0.51,2.83,9.45,0.02,-0.0,-0.0,-13.77,-84.05,,9.877828708780084,0
532,0.5,2.88,9.45,0.02,-0.0,-0.01,-14.19,-83.84,,9.891759196422038,0
539,0.5,2.88,9.46,0.02,-0.0,-0.02,-14.25,-83.76,,9.901313044238124,0
546,0.52,2.87,9.46,0.02,-0.0,-0.02,-13.56,-84.07,,9.89943937806581,0
553,0.53,2.87,9.46,0.01,-0.0,-0.02,-13.9,-83.72,,9.89996969692332,0
560,0.59,2.86,9.45,0.01,-0.01,-0.02,-14.03,-84.08,,9.890915023393942,0
567,0.62,2.87,9.43,0.01,-0.01,-0.02,-14.06,-83.57,,9.87654797993712,0
574,0.6,2.86,9.45,0.01,-0.01,-0.02,-13.88,-84.0,,9.891516567240838,0
581,0.6,2.86,9.45,0.01,-0.0,-0.02,-14.59,-82.61,,9.891516567240838,0
588,0.59,2.85,9.44,0.01,-0.0,-0.01,-14.18,-84.08,,9.878471541691052,0
595,0.59,2.86,9.45,0.01,-0.0,-0.0,-14.25,-84.32,,9.890915023393942,0
602,0.58,2.82,9.45,0.01,-0.0,-0.0,-14.48,-84.61,,9.878830902490437,0
609,0.56,2.81,9.43,0.01,-0.0,0.0,-14.47,-83.92,,9.855688712616688,0
616,0.57,2.81,9.45,0.01,-0.0,0.01,-14.24,-84.08,,9.875398726127466,0
623,0.54,2.82,9.46,0.01,-0.0,0.0,-14.18,-83.95,,9.886131700518662,0
630,0.55,2.84,9.45,0.01,-0.0,0.0,-15.01,-82.77,,9.882843720306417,0
637,0.55,2.84,9.45,0.01,-0.0,0.0,-15.02,-83.92,,9.882843720306417,0
644,0.58,2.87,9.46,0.01,-0.01,0.0,-14.72,-83.32,,9.902772339097774,0
651,0.6,2.88,9.45,0.01,-0.01,0.0,-13.91,-83.65,,9.897317818479912,0
658,0.61,2.88,9.43,0.01,-0.01,0.0,-14.13,-83.65,,9.878835963816789,0
665,0.61,2.88,9.44,0.01,-0.01,0.01,-14.22,-83.35,,9.888382071906404,0
672,0.62,2.83,9.43,0.01,-0.01,0.02,-13.8,-83.62,,9.864998732893987,0
679,0.62,2.81,9.43,0.01,-0.01,0.03,-14.72,-82.43,,9.85927989256822,0
686,0.6,2.76,9.43,0.01,-0.01,0.03,-13.78,-83.88,,9.8439067447838,0
693,0.56,2.75,9.43,0.01,-0.0,0.03,-14.5,-84.26,,9.838749920594587,0
700,0.57,2.73,9.44,0.01,-0.0,0.03,-14.38,-84.05,,9.843342928091046,0
707,0.56,2.73,9.43,0.01,-0.0,0.03,-14.28,-84.26,,9.833178529854932,0
714,0.55,2.76,9.41,0.01,-0.0,0.03,-14.21,-84.29,,9.821822641444918,0
721,0.56,2.77,9.41,0.02,-0.0,0.03,-14.06,-83.98,,9.825202287993871,0
728,0.57,2.8,9.43,0.02,-0.01,0.03,-14.44,-82.04,,9.85341565143783,0
735,0.58,2.8,9.43,0.02,-0.01,0.03,-14.22,-84.03,,9.853999188146911,0
742,0.57,2.82,9.45,0.02,-0.01,0.03,-14.34,-84.01,,9.878248832662598,0
749,0.57,2.85,9.43,0.03,-0.01,0.03,-14.6,-84.03,,9.867740369507096,0
756,0.56,2.87,9.45,0.03,-0.01,0.03,-14.5,-83.66,,9.89206752908612,0
763,0.55,2.87,9.44,0.02,-0.01,0.03,-14.34,-83.62,,9.881953248219704,0
770,0.56,2.92,9.46,0.02,-0.01,0.03,-14.67,-81.64,,9.916229121999956,0
777,0.57,2.91,9.44,0.02,-0.01,0.03,-14.57,-83.48,,9.894776399696964,0
784,0.56,2.91,9.44,0.02,-0.01,0.03,-14.16,-83.35,,9.894205374864622,0
791,0.6,2.91,9.45,0.01,-0.01,0.03,-14.31,-83.48,,9.906089036547169,0
798,0.6,2.91,9.44,0.01,-0.01,0.03,-14.45,-83.92,,9.896549903880643,0
805,0.6,2.91,9.45,0.01,-0.01,0.03,-14.31,-83.92,,9.906089036547169,0
812,0.64,2.92,9.46,0.0,-0.01,0.03,-13.96,-84.23,,9.921068490843112,0
819,0.62,2.89,9.45,0.0,-0.01,0.03,-14.35,-84.22,,9.90146453813778,0
826,0.6,2.87,9.44,0.0,-0.01,0.03,-14.95,-82.83,,9.884862163935315,0
833,0.6,2.86,9.45,0.0,-0.01,0.03,-14.59,-84.13,,9.891516567240838,0
840,0.59,2.85,9.43,0.0,-0.01,0.03,-14.45,-83.94,,9.868915847244825,0
847,0.59,2.85,9.43,0.0,-0.01,0.03,-14.63,-83.66,,9.868915847244825,0
854,0.59,2.84,9.44,0.0,-0.01,0.03,-14.12,-84.16,,9.875591121548116,0
861,0.57,2.84,9.45,0.0,-0.01,0.03,-14.44,-84.23,,9.883976932389109,0
868,0.6,2.86,9.45,-0.0,-0.01,0.03,-14.6,-82.62,,9.891516567240838,0
875,0.61,2.86,9.44,-0.0,-0.01,0.03,-14.29,-84.08,,9.882575575223292,0
882,0.61,2.87,9.44,-0.0,-0.01,0.03,-14.51,-83.62,,9.885474191964692,0
889,0.61,2.88,9.43,-0.0,-0.01,0.03,-14.15,-83.54,,9.878835963816789,0
896,0.61,2.88,9.44,-0.0,-0.01,0.03,-13.96,-83.15,,9.888382071906404,0
903,0.61,2.85,9.43,-0.0,-0.01,0.03,-13.81,-83.76,,9.870131711380552,0
910,0.6,2.85,9.44,-0.0,-0.01,0.03,-13.68,-83.85,,9.879073843230447,0
917,0.62,2.84,9.44,-0.0,-0.01,0.03,-14.1,-83.13,,9.877428815233245,0
924,0.62,2.85,9.43,-0.0,-0.01,0.03,-15.07,-82.58,,9.87075478370322,0
931,0.6,2.85,9.45,-0.01,-0.01,0.03,-13.84,-83.69,,9.888629834309706,0
938,0.61,2.86,9.46,-0.01,-0.01,0.03,-13.97,-83.91,,9.90168167535192,0
945,0.63,2.86,9.45,-0.01,-0.01,0.03,-13.88,-83.85,,9.893381626117533,0
952,0.62,2.83,9.42,-0.01,-0.01,0.03,-14.16,-83.62,,9.855440122084858,0
959,0.65,2.81,9.42,-0.01,-0.0,0.03,-14.37,-84.23,,9.85164960806057,0
966,0.64,2.8,9.43,-0.01,-0.0,0.03,-14.19,-84.14,,9.857712716446954,0
973,0.61,2.78,9.43,-0.01,-0.0,0.03,-15.14,-81.76,,9.850147207021832,0
980,0.59,2.8,9.42,-0.01,-0.0,0.03,-14.18,-83.6,,9.845024123891216,0
987,0.58,2.81,9.44,-0.0,-0.0,0.02,-14.15,-83.53,,9.866412721957255,0
994,0.57,2.82,9.45,-0.0,-0.0,0.02,-14.44,-83.35,,9.878248832662598,0
1001,0.58,2.85,9.47,-0.0,-0.0,0.02,-14.29,-83.32,,9.90655338652147,0
1008,0.58,2.87,9.46,-0.01,-0.0,0.02,-14.5,-83.5,,9.902772339097774,0
1015,0.6,2.87,9.46,-0.01,-0.0,0.01,-14.72,-82.26,,9.903963852922727,0
1022,0.63,2.87,9.45,-0.01,-0.0,0.01,-15.21,-83.48,,9.896277077770206,0
1029,0.65,2.83,9.44,-0.02,-0.0,0.02,-14.02,-83.62,,9.876487229779624,0
1036,0.64,2.79,9.43,-0.02,-0.0,0.02,-14.51,-84.11,,9.854876965239088,0
1043,0.63,2.74,9.42,-0.02,-0.0,0.02,-14.15,-84.01,,9.830610357449835,0
1050,0.63,2.7,9.43,-0.02,-0.0,0.02,-13.9,-83.48,,9.829130175147748,0
1057,0.61,2.64,9.44,-0.01,-0.0,0.02,-14.18,-83.5,,9.82116591856588,0
1064,0.6,2.61,9.42,-0.01,-0.0,0.02,-14.22,-84.11,,9.793288518163855,0
1071,0.61,2.6,9.43,0.0,-0.0,0.01,-14.89,-82.83,,9.800867308559992,0
1078,0.63,2.63,9.43,0.0,-0.0,0.01,-13.99,-83.91,,9.810132516943897,0
1085,0.64,2.65,9.42,0.0,-0.0,0.01,-14.4,-84.22,,9.806553930917833,0
1092,0.64,2.64,9.41,0.01,-0.0,0.01,-14.31,-83.91,,9.794248312147287,0
1099,0.63,2.68,9.42,0.02,-0.0,0.01,-14.37,-83.53,,9.81405624601775,0
1106,0.65,2.68,9.42,0.02,-0.0,0.01,-14.25,-83.44,,9.81536041111074,0
1113,0.63,2.69,9.42,0.02,0.0,0.01,-14.44,-82.26,,9.816791736611306,0
1120,0.61,2.69,9.41,0.03,0.0,0.01,-13.87,-82.81,,9.80593187820515,0
1127,0.59,2.65,9.42,0.03,0.0,0.0,-14.06,-83.0,,9.80341777136933,0
1134,0.59,2.65,9.42,0.03,0.0,0.0,-14.05,-83.27,,9.80341777136933,0
