timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude,label
0,0.24,2.28,9.63,0.0,0.0,-0.0,-5.83,-61.39,-47.54,9.899136325962989,0
7,0.24,2.29,9.61,0.0,0.0,0.0,-4.87,-63.18,-51.65,9.881993725964412,0
14,0.25,2.3,9.62,0.0,0.0,0.0,-4.85,-63.5,-50.77,9.894286229940995,0
21,0.24,2.26,9.6,-0.0,0.0,0.0,-5.12,-63.77,-50.56,9.865353516220289,0
28,0.26,2.25,9.6,-0.0,0.0,0.0,-5.0,-63.99,-50.64,9.863574402821728,0
35,0.26,2.24,9.59,-0.0,0.0,0.0,-4.95,-64.02,-50.44,9.851563327716065,0
42,0.25,2.24,9.61,-0.0,0.0,0.0,-4.85,-63.59,-50.07,9.870775045557464,0
49,0.24,2.23,9.6,0.0,0.0,0.0,-4.66,-62.6,-45.69,9.858524230329811,0
56,0.23,2.24,9.6,-0.0,0.0,0.01,-5.22,-63.17,-50.47,9.860552722844698,0
63,0.24,2.24,9.6,-0.0,0.0,0.01,-4.69,-63.97,-51.21,9.860791043318988,0
70,0.24,2.23,9.6,-0.0,0.0,0.01,-4.97,-63.75,-51.45,9.858524230329811,0
77,0.26,2.23,9.59,0.0,0.0,0.01,-4.79,-64.21,-51.15,9.84929439097035,0
84,0.24,2.25,9.61,0.0,0.0,0.01,-4.88,-64.07,-51.55,9.8728010209869,0
91,0.25,2.24,9.61,0.0,0.0,0.01,-5.03,-63.83,-48.04,9.870775045557464,0
98,0.25,2.24,9.61,0.0,0.0,0.01,-5.45,-62.47,-49.11,9.870775045557464,0
105,0.25,2.23,9.61,0.0,0.0,0.01,-4.94,-63.49,-52.09,9.868510525910178,0
112,0.27,2.23,9.59,0.0,0.0,0.01,-4.97,-63.42,-51.86,9.849563442102395,0
119,0.23,2.22,9.59,0.0,0.0,0.01,-5.28,-63.29,-51.1,9.846288640904246,0
126,0.22,2.23,9.6,0.0,0.0,0.01,-5.06,-63.71,-51.17,9.858057618009749,0
133,0.21,2.24,9.6,0.0,0.0,0.01,-4.85,-63.53,-51.13,9.86010649029715,0
140,0.2,2.22,9.62,0.01,0.0,0.01,-5.06,-63.75,-51.01,9.87485696098936,0
147,0.19,2.25,9.62,0.01,0.0,0.01,-5.38,-62.03,-46.77,9.881447262420622,0
154,0.2,2.26,9.61,0.01,0.0,0.01,-5.55,-64.0,-51.21,9.874193637963558,0
161,0.2,2.28,9.62,0.0,0.0,0.01,-4.68,-63.62,-50.96,9.888518594814895,0
168,0.23,2.27,9.6,0.0,0.0,0.01,-4.81,-63.62,-51.01,9.867411007959484,0
175,0.29,2.29,9.59,0.0,0.0,0.0,-4.91,-63.43,-51.51,9.863888685503298,0
182,0.3,2.29,9.59,0.0,0.0,0.0,-4.9,-63.77,-50.76,9.864187751660042,0
189,0.26,2.29,9.61,0.0,0.0,0.0,-4.76,-63.42,-51.87,9.882499683784465,0
