timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,acceleration_magnitude
0,4.51,-1.77,8.64,-0.02,-0.01,-0.02,9.9056852362671
6,4.58,-1.79,8.63,-0.01,-0.01,-0.01,9.932643152756471
12,4.61,-1.78,8.68,-0.01,-0.01,-0.01,9.988137964605816
18,4.61,-1.78,8.68,0.01,-0.01,-0.0,9.988137964605816
24,4.6,-1.72,8.75,0.02,-0.0,0.0,10.033987243364423
30,4.6,-1.72,8.75,0.02,-0.0,0.0,10.033987243364423
36,4.56,-1.63,8.8,0.02,0.0,0.01,10.044426315126216
42,4.52,-1.55,8.82,0.01,0.0,0.02,10.031216277201883
48,4.52,-1.55,8.82,0.01,0.0,0.02,10.031216277201883
54,4.49,-1.54,8.78,-0.01,0.0,0.04,9.980986925149235
60,4.48,-1.61,8.73,-0.01,0.0,0.06,9.943611014113536
66,4.48,-1.61,8.73,-0.01,0.0,0.06,9.943611014113536
72,4.47,-1.7,8.7,-0.01,0.0,0.08,9.927784244230933
78,4.46,-1.83,8.72,-0.01,0.0,0.1,9.963879766436365
84,4.46,-1.83,8.72,-0.01,0.0,0.1,9.963879766436365
90,4.43,-1.96,8.71,-0.01,0.01,0.1,9.966473799694656
96,4.38,-2.01,8.72,-0.01,0.01,0.1,9.963076833990591
102,4.38,-2.01,8.72,0.0,0.01,0.1,9.963076833990591
108,4.31,-1.97,8.77,0.03,0.01,0.08,9.968445214776475
114,4.31,-1.97,8.77,0.03,0.01,0.08,9.968445214776475
120,4.27,-1.88,8.83,0.04,0.02,0.06,9.986801289702324
126,4.25,-1.72,8.88,0.05,0.02,0.05,9.99376305502587
132,4.25,-1.72,8.88,0.05,0.02,0.05,9.99376305502587
138,4.25,-1.58,8.88,0.04,0.02,0.03,9.970621846203978
144,4.31,-1.49,8.87,0.02,0.02,0.02,9.973620205321636
150,4.31,-1.49,8.87,0.02,0.02,0.02,9.973620205321636
156,4.36,-1.46,8.81,0.0,0.02,0.03,9.937670753249979
162,4.42,-1.56,8.78,-0.01,0.02,0.04,9.952808648818683
168,4.42,-1.56,8.78,-0.01,0.02,0.04,9.952808648818683
174,4.42,-1.7,8.75,-0.02,0.02,0.05,9.949316559442664
180,4.42,-1.81,8.75,-0.02,0.02,0.05,9.968701018688442
186,4.36,-1.81,8.75,-0.01,0.02,0.06,9.942243207646854
192,4.25,-1.88,8.78,0.0,0.02,0.07,9.934047513476065
198,4.25,-1.88,8.78,0.0,0.02,0.07,9.934047513476065
204,4.1,-1.86,8.83,0.02,0.02,0.07,9.911533685560475
210,4.0,-1.8,8.85,0.03,0.02,0.06,9.877373132569206
216,4.0,-1.8,8.85,0.03,0.02,0.06,9.877373132569206
222,3.94,-1.76,8.88,0.03,0.01,0.04,9.872973209727656
228,3.97,-1.74,8.9,0.03,0.0,0.01,9.899419174880919
234,3.97,-1.74,8.9,0.03,0.0,0.01,9.899419174880919
240,4.09,-1.7,8.89,0.03,-0.0,-0.02,9.932280704853241
246,4.23,-1.67,8.88,0.03,-0.0,-0.04,9.97678304865852
252,4.23,-1.67,8.88,0.03,-0.0,-0.04,9.97678304865852
258,4.4,-1.64,8.85,0.02,-0.0,-0.05,10.018587724824291
264,4.4,-1.62,8.84,0.02,-0.0,-0.05,10.00649788887201
270,4.54,-1.62,8.84,0.02,0.0,-0.05,10.068843031848298
276,4.63,-1.62,8.83,0.02,0.01,-0.04,10.10099995049995
282,4.63,-1.62,8.83,0.02,0.01,-0.04,10.10099995049995
288,4.65,-1.6,8.81,0.02,0.01,-0.02,10.089529225885617
294,4.62,-1.6,8.8,0.02,0.02,-0.0,10.066995579615599
300,4.62,-1.6,8.8,0.02,0.02,-0.0,10.066995579615599
306,4.54,-1.62,8.78,0.01,0.03,0.02,10.016206866873308
312,4.44,-1.65,8.78,0.01,0.03,0.04,9.976196670074222
318,4.44,-1.65,8.78,0.01,0.03,0.04,9.976196670074222
324,4.37,-1.72,8.75,0.01,0.03,0.05,9.93064952558492
330,4.34,-1.78,8.74,0.01,0.03,0.04,9.91925400420818
336,4.34,-1.78,8.74,0.01,0.03,0.04,9.91925400420818
342,4.3,-1.81,8.77,0.02,0.03,0.03,9.93373041711924
348,4.3,-1.81,8.8,0.02,0.03,0.03,9.960225901052647
354,4.33,-1.81,8.8,0.03,0.03,0.02,9.973214125847294
