timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude
0,-0.01,-1.74,9.77,-0.06,-0.01,-0.04,-1.18,-56.81,-43.67,9.923739214630743
7,-0.02,-1.76,9.77,-0.06,-0.01,-0.04,-0.13,-58.17,-47.49,9.927280594402477
14,-0.07,-1.78,9.78,-0.06,-0.0,-0.03,-0.5,-58.3,-47.37,9.94091042108317
21,-0.11,-1.77,9.78,-0.06,-0.0,-0.03,-0.04,-58.2,-47.78,9.939486908286563
28,-0.19,-1.78,9.77,-0.06,-0.01,-0.02,-0.58,-58.21,-47.88,9.93264315275647
35,-0.2,-1.79,9.76,-0.06,-0.01,-0.02,-0.32,-58.33,-47.97,9.92480226503279
42,-0.23,-1.75,9.74,-0.05,-0.01,-0.02,-0.79,-58.18,-43.88,9.898636269709076
49,-0.23,-1.7,9.74,-0.04,-0.01,-0.02,-1.81,-56.83,-47.84,9.889919109881536
56,-0.23,-1.59,9.75,-0.03,-0.01,-0.03,-0.76,-58.18,-48.7,9.881472562325921
63,-0.21,-1.53,9.78,-0.03,-0.01,-0.03,-0.32,-58.17,-47.82,9.901181747650124
70,-0.17,-1.43,9.81,-0.02,-0.01,-0.04,0.19,-57.67,-48.01,9.91513489570364
77,-0.16,-1.4,9.82,-0.01,-0.01,-0.06,-0.7,-58.27,-47.84,9.920584660190144
84,-0.14,-1.33,9.84,-0.01,-0.01,-0.08,-0.6,-58.24,-47.9,9.930463231894068
91,-0.14,-1.34,9.85,-0.01,-0.01,-0.08,-0.06,-58.04,-45.43,9.94171514377675
98,-0.14,-1.36,9.85,-0.02,-0.01,-0.09,-0.66,-56.55,-45.89,9.944430602100857
105,-0.16,-1.42,9.84,-0.03,-0.01,-0.11,-0.16,-58.02,-47.09,9.94321879473644
112,-0.16,-1.51,9.83,-0.03,-0.01,-0.12,-0.06,-58.26,-47.5,9.946587354464848
119,-0.16,-1.56,9.84,-0.03,-0.01,-0.12,-0.54,-58.35,-47.76,9.964175831447376
126,-0.15,-1.62,9.84,-0.03,-0.01,-0.12,-0.39,-58.04,-47.68,9.973590125927574
133,-0.12,-1.65,9.83,-0.03,-0.02,-0.13,-0.63,-58.08,-47.5,9.96823956373441
140,-0.09,-1.66,9.81,-0.03,-0.02,-0.14,-0.57,-57.98,-47.43,9.949864320682972
147,-0.08,-1.65,9.81,-0.03,-0.02,-0.14,-0.82,-56.26,-42.69,9.948115399411087
154,-0.02,-1.66,9.77,-0.02,-0.02,-0.14,-1.61,-56.65,-48.13,9.910040363187225
161,-0.01,-1.65,9.77,-0.02,-0.02,-0.14,-1.07,-57.73,-47.84,9.90835506025092
168,0.03,-1.66,9.75,-0.02,-0.02,-0.14,-1.13,-57.54,-48.13,9.890348831057477
175,0.05,-1.68,9.74,-0.02,-0.02,-0.14,-0.61,-57.47,-47.52,9.883951638894233
182,0.15,-1.7,9.73,-0.02,-0.02,-0.13,-0.63,-57.31,-47.53,9.878532279645595
189,0.16,-1.71,9.73,-0.01,-0.02,-0.11,-1.11,-57.09,-43.34,9.88041497104246
196,0.17,-1.7,9.74,0.0,-0.01,-0.11,-2.12,-55.88,-47.75,9.888705678702346
203,0.19,-1.71,9.74,0.0,-0.01,-0.11,-0.85,-57.64,-47.46,9.890793699193205
210,0.2,-1.72,9.75,0.0,-0.0,-0.09,-0.88,-57.5,-47.19,9.90257037339296
217,0.24,-1.73,9.75,0.0,-0.0,-0.08,-1.7,-57.86,-47.18,9.905200654201812
224,0.25,-1.78,9.71,0.0,0.0,-0.06,-1.39,-57.99,-46.74,9.874968354379675
231,0.26,-1.77,9.71,0.0,0.0,-0.06,-0.91,-57.86,-46.57,9.873428988958194
238,0.26,-1.77,9.73,0.01,0.01,-0.04,-0.82,-57.45,-46.46,9.893098604582894
245,0.25,-1.75,9.71,0.01,0.01,-0.02,-1.7,-55.83,-42.6,9.869604855312092
252,0.21,-1.74,9.73,0.02,0.02,-0.0,-0.89,-57.73,-46.78,9.88658687313271
259,0.18,-1.74,9.73,0.02,0.02,-0.0,-0.86,-57.67,-47.3,9.885995144647808
266,0.14,-1.74,9.73,0.01,0.02,0.01,-0.89,-57.88,-47.3,9.88534774299822
273,0.11,-1.73,9.75,0.01,0.02,0.03,-0.79,-57.69,-47.9,9.902903614597085
280,0.05,-1.72,9.74,0.02,0.02,0.04,-0.82,-57.47,-47.79,9.89082908557215
287,0.04,-1.7,9.74,0.02,0.02,0.04,-0.69,-56.62,-43.64,9.887325219694151
294,0.01,-1.71,9.75,0.01,0.02,0.04,-1.2,-56.43,-47.66,9.898823162376425
301,-0.02,-1.72,9.74,0.01,0.03,0.04,-0.54,-57.12,-47.79,9.890722926055506
308,0.0,-1.71,9.76,0.01,0.03,0.05,-0.34,-57.7,-47.44,9.908667922581722
315,-0.0,-1.71,9.76,0.01,0.03,0.05,-0.37,-57.92,-47.12,9.908667922581722
322,-0.0,-1.73,9.75,0.01,0.03,0.05,-0.94,-57.95,-46.87,9.902292663822859
329,-0.01,-1.71,9.75,0.01,0.03,0.05,-0.98,-57.7,-47.15,9.898823162376425
336,-0.01,-1.72,9.76,0.01,0.03,0.05,-0.75,-57.34,-44.48,9.910403624474636
343,-0.01,-1.71,9.77,0.01,0.03,0.05,-1.91,-56.31,-43.92,9.918523075539019
350,-0.03,-1.71,9.76,0.02,0.03,0.05,-1.27,-57.66,-46.92,9.908713337260291
357,-0.06,-1.68,9.77,0.01,0.03,0.05,-0.8,-57.61,-46.83,9.91357150576925
364,-0.09,-1.68,9.77,0.01,0.03,0.06,-0.7,-57.72,-47.03,9.913798464766165
371,-0.11,-1.67,9.77,0.01,0.03,0.06,-1.05,-57.7,-46.81,9.91231052782347
378,-0.13,-1.67,9.77,0.01,0.03,0.06,-1.01,-57.79,-46.73,9.912552648031687
385,-0.14,-1.65,9.77,0.01,0.03,0.06,-1.07,-55.98,-42.77,9.90933902942068
392,-0.16,-1.63,9.79,0.01,0.02,0.05,-1.26,-57.18,-48.32,9.926056618818976
399,-0.17,-1.63,9.78,0.01,0.02,0.05,-0.61,-56.83,-47.98,9.91636021935468
406,-0.2,-1.63,9.81,0.01,0.02,0.05,-0.45,-56.81,-47.68,9.946506924543913
413,-0.19,-1.64,9.82,0.01,0.02,0.04,-0.22,-57.26,-47.56,9.957816025615255
420,-0.2,-1.65,9.82,0.01,0.01,0.04,-0.64,-57.41,-47.33,9.959663648939156
427,-0.2,-1.67,9.8,0.01,0.01,0.04,-0.51,-57.76,-47.53,9.943284165707023
434,-0.18,-1.7,9.78,0.01,0.01,0.03,-0.51,-57.4,-42.96,9.928282832393524
441,-0.2,-1.73,9.77,0.01,0.01,0.03,-1.37,-56.21,-45.43,9.924001209189768
448,-0.17,-1.75,9.76,0.01,0.01,0.02,-0.58,-57.59,-46.23,9.917106432826058
455,-0.17,-1.72,9.77,0.01,0.01,0.02,-0.48,-58.08,-46.51,9.921703482769479
462,-0.18,-1.72,9.77,0.01,0.0,0.02,-0.45,-57.35,-47.06,9.921879862203532
469,-0.19,-1.71,9.77,0.02,0.0,0.02,-0.2,-57.89,-46.97,9.920337695864994
476,-0.2,-1.7,9.79,0.02,-0.0,0.02,-0.38,-57.92,-47.57,9.93851598579989
483,-0.19,-1.68,9.78,0.02,-0.0,0.02,-0.99,-57.83,-46.65,9.925064231530191
490,-0.19,-1.67,9.78,0.02,-0.0,0.02,-1.58,-56.33,-42.98,9.923376441514248
497,-0.18,-1.65,9.77,0.02,-0.01,0.01,-0.79,-57.95,-47.79,9.909984863762405
504,-0.15,-1.65,9.78,0.02,-0.01,0.0,-0.66,-58.2,-47.6,9.919344736422865
511,-0.15,-1.65,9.78,0.02,-0.01,0.0,-0.75,-57.64,-48.33,9.919344736422865
518,-0.12,-1.65,9.81,0.02,-0.01,-0.0,-0.57,-57.79,-47.92,9.948517477493821
525,-0.12,-1.66,9.79,0.02,-0.01,-0.01,-0.6,-57.57,-47.65,9.930463231894068
532,-0.11,-1.67,9.79,0.01,-0.01,-0.01,-0.25,-56.58,-42.78,9.93202396291914
539,-0.07,-1.68,9.78,0.01,-0.01,-0.01,-0.92,-56.81,-47.16,9.923492328812472
546,-0.07,-1.67,9.75,0.01,-0.01,-0.01,-0.7,-58.23,-47.63,9.892234327996887
