timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude
0,0.25,2.42,9.77,-0.25,0.28,-0.26,0.73,-2.46,-90.4,10.068356370331752
7,0.27,2.38,9.7,-0.25,0.28,-0.26,0.89,-2.34,-90.35,9.991361268616004
14,0.2,2.27,9.61,-0.25,0.29,-0.27,0.6,-2.47,-90.21,9.876487229779624
21,0.22,2.25,9.52,-0.26,0.3,-0.28,0.91,-2.75,-90.11,9.78474833605852
28,0.16,2.18,9.43,-0.25,0.31,-0.27,1.24,-2.53,-90.41,9.680025826411828
35,0.15,2.08,9.47,-0.25,0.31,-0.27,1.3,-2.29,-89.94,9.696896410707913
42,0.13,2.02,9.47,-0.25,0.32,-0.27,0.91,-1.02,-85.33,9.683914497763805
49,0.08,2.01,9.5,-0.24,0.32,-0.26,0.85,-2.53,-89.14,9.710638496000147
56,0.08,1.96,9.54,-0.24,0.33,-0.26,1.71,-2.73,-89.27,9.739589313723654
63,0.03,1.91,9.55,-0.24,0.33,-0.26,1.48,-2.65,-89.55,9.739173476224767
70,0.05,1.96,9.43,-0.23,0.34,-0.27,2.13,-2.0,-89.45,9.6316665224664
77,-0.01,1.99,9.43,-0.23,0.36,-0.28,1.81,-2.22,-89.37,9.637691632336033
84,-0.2,2.08,9.39,-0.22,0.38,-0.29,1.64,-2.29,-85.56,9.61969334230567
91,-0.26,2.03,9.42,-0.22,0.38,-0.29,1.17,0.1,-89.4,9.639756220984015
98,-0.29,2.05,9.45,-0.23,0.38,-0.31,2.37,-1.71,-89.51,9.674145957137506
105,-0.27,2.14,9.49,-0.2,0.37,-0.34,2.53,-1.52,-90.05,9.732039868393471
112,-0.35,2.33,9.62,-0.19,0.37,-0.38,2.89,-1.48,-89.49,9.904332385375604
119,-0.39,2.31,9.74,-0.19,0.37,-0.38,2.88,-1.36,-89.55,10.017774203883816
126,-0.23,2.34,9.72,-0.21,0.38,-0.41,2.89,-1.45,-89.21,10.000344994048955
133,-0.29,2.35,9.74,-0.23,0.38,-0.45,3.04,-1.3,-88.94,10.02368195824269
140,-0.18,2.28,9.71,-0.27,0.39,-0.48,2.24,0.7,-85.08,9.975715513185008
147,-0.18,2.3,9.73,-0.27,0.39,-0.48,3.03,-1.14,-88.75,9.999764997238685
154,-0.21,2.33,9.95,-0.28,0.4,-0.5,3.1,-1.02,-88.57,10.221325745714202
161,-0.14,2.37,10.0,-0.28,0.42,-0.5,3.77,-1.11,-88.35,10.277961860213336
168,-0.09,2.44,10.2,-0.29,0.44,-0.49,3.54,-0.94,-88.23,10.488169525708477
