timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude
0,0.95,-0.35,9.87,0.01,0.0,0.04,-0.57,6.07,-86.9,9.921789153171922
7,0.95,-0.37,9.86,0.01,0.0,0.04,0.03,5.95,-87.66,9.912567780348338
14,0.96,-0.36,9.84,0.01,0.0,0.04,0.57,6.08,-86.31,9.893270440051662
21,0.96,-0.36,9.83,0.01,0.0,0.04,0.26,6.36,-86.96,9.88332433951249
28,0.97,-0.36,9.84,0.01,0.0,0.03,0.47,6.09,-86.63,9.894245802485402
35,0.95,-0.39,9.83,0.01,0.0,0.02,0.6,5.96,-86.55,9.883496344917623
42,0.95,-0.4,9.84,0.01,0.0,0.01,0.12,5.95,-83.05,9.893841518843931
49,0.95,-0.41,9.84,0.01,0.0,0.01,-0.67,7.28,-84.29,9.894250855926385
56,0.95,-0.44,9.85,0.01,-0.0,0.0,0.15,5.63,-86.2,9.905483329954171
63,0.95,-0.44,9.86,0.01,-0.0,-0.0,-0.01,5.52,-86.1,9.915427373542705
70,0.96,-0.45,9.86,0.02,-0.01,-0.01,-0.07,5.7,-86.28,9.916839214185131
77,0.98,-0.45,9.87,0.02,-0.01,-0.01,0.63,5.55,-86.86,9.928736072632809
84,1.01,-0.45,9.88,0.01,-0.01,-0.01,0.03,5.25,-86.92,9.941679938521458
91,1.03,-0.44,9.9,0.02,-0.01,-0.0,0.16,5.22,-87.24,9.96315713014705
98,1.02,-0.39,9.9,0.02,-0.01,-0.0,-1.23,7.1,-89.4,9.960045180620417
105,1.01,-0.37,9.91,0.02,-0.01,-0.0,0.06,5.93,-87.58,9.968204452156868
112,1.01,-0.33,9.9,0.02,-0.01,0.0,-0.13,5.45,-87.68,9.956856933791908
119,1.02,-0.32,9.89,0.01,-0.01,0.01,0.16,5.73,-87.56,9.947607752620728
126,1.0,-0.3,9.88,0.01,-0.01,0.01,0.2,5.61,-87.8,9.935008807243204
133,0.99,-0.29,9.84,0.01,-0.01,0.01,0.25,5.71,-86.76,9.893927430499982
140,0.96,-0.3,9.83,0.01,-0.0,0.02,0.37,6.33,-82.59,9.881320761922467
147,0.97,-0.33,9.81,0.0,-0.0,0.01,-0.98,6.52,-86.6,9.863361495960696
154,0.98,-0.28,9.81,0.01,-0.0,0.01,0.13,5.57,-86.76,9.862803860971788
161,0.95,-0.28,9.81,0.01,-0.0,0.01,-0.48,5.52,-86.25,9.859868153276697
168,0.96,-0.29,9.84,0.0,-0.0,-0.0,0.13,5.57,-86.76,9.890970629821929
175,0.96,-0.29,9.85,0.0,-0.01,-0.01,-0.44,5.51,-86.55,9.90091914925074
182,0.98,-0.29,9.86,0.0,-0.01,-0.02,0.26,5.35,-86.03,9.912825026197122
189,1.0,-0.3,9.88,0.0,-0.01,-0.02,-0.1,5.57,-85.17,9.935008807243204
196,1.03,-0.29,9.89,-0.0,-0.01,-0.02,-1.02,7.28,-83.03,9.947718331356192
203,1.05,-0.32,9.88,-0.0,-0.01,-0.02,-0.19,5.39,-87.18,9.940789707060501
210,1.08,-0.33,9.9,-0.01,-0.01,-0.01,-0.19,5.32,-87.27,9.964200921298206
217,1.09,-0.35,9.88,-0.01,-0.01,-0.01,-0.47,5.33,-87.49,9.946104765183202
224,1.09,-0.38,9.84,-0.01,-0.01,-0.01,0.03,5.36,-87.84,9.9074769744875
231,1.13,-0.39,9.82,-0.01,-0.0,-0.01,0.18,6.12,-87.24,9.89249210259983
238,1.08,-0.39,9.8,-0.01,0.0,-0.0,0.47,8.04,-82.61,9.867041096498992
245,1.08,-0.39,9.79,-0.01,0.0,-0.0,-0.5,5.9,-87.17,9.857109109673079
252,1.04,-0.37,9.8,-0.0,0.0,0.0,-0.16,5.7,-87.81,9.861972419348982
259,1.01,-0.38,9.81,0.0,0.0,0.01,-0.38,5.89,-86.77,9.869174230907063
266,0.98,-0.36,9.85,0.0,0.0,0.01,-0.06,5.73,-86.6,9.90517541490306
273,0.98,-0.34,9.87,0.0,0.0,0.01,0.06,5.51,-86.52,9.924358921361117
