timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude
122003,0.16,-7.73,5.81,-0.5,0.03,0.02,-6.64,-21.19,-13.55,9.671328760827024
122010,0.05,-7.8,5.74,-0.5,0.03,0.02,-6.33,-21.28,-12.95,9.684528899228914
122017,0.01,-7.88,5.71,-0.52,0.03,0.03,-6.78,-20.43,-7.59,9.7313205681449
122024,-0.15,-8.04,5.66,-0.54,0.03,0.04,-7.31,-20.04,-13.05,9.833600561340692
122031,-0.23,-8.1,5.65,-0.55,0.03,0.04,-6.93,-21.06,-12.41,9.878532279645595
122038,-0.32,-8.22,5.64,-0.55,0.03,0.04,-6.9,-21.19,-12.32,9.973986164016871
122045,-0.35,-8.26,5.64,-0.54,0.03,0.04,-7.07,-20.99,-12.03,10.007981814531838
122052,-0.34,-8.32,5.63,-0.54,0.02,0.02,-6.97,-20.75,-12.7,10.051611811048016
122059,-0.34,-8.35,5.64,-0.54,0.01,0.0,-6.8,-21.02,-12.2,10.082048402978431
122066,-0.3,-8.41,5.65,-0.54,0.01,0.0,-7.5,-19.13,-8.56,10.136103787945348
122073,-0.35,-8.39,5.63,-0.56,0.0,-0.01,-7.19,-20.4,-11.3,10.10997032636595
122080,-0.44,-8.43,5.5,-0.57,-0.0,-0.02,-6.66,-20.17,-11.37,10.075142678890458
122087,-0.58,-8.48,5.49,-0.59,-0.01,0.0,-6.74,-20.14,-11.4,10.118641213127384
122094,-0.86,-8.64,5.46,-0.59,-0.01,0.0,-6.65,-20.58,-10.87,10.256744122771124
122101,-0.97,-8.68,5.46,-0.6,-0.01,0.05,-6.18,-20.17,-10.41,10.300237861331164
122108,-1.05,-8.9,5.47,-0.59,-0.0,0.1,-7.38,-20.37,-10.73,10.499209494052398
122115,-1.19,-8.97,5.51,-0.59,0.0,0.12,-6.96,-19.01,-4.94,10.594201244076876
122122,-1.26,-9.13,5.65,-0.59,0.0,0.12,-7.28,-20.39,-9.09,10.810504151056046
122129,-1.24,-9.29,5.77,-0.58,0.01,0.13,-6.49,-20.01,-9.49,11.006116481302566
122136,-1.12,-9.6,5.78,-0.59,0.0,0.11,-6.53,-19.88,-9.05,11.261562946589608
122143,-0.94,-9.74,5.75,-0.6,-0.0,0.06,-6.56,-19.85,-9.09,11.349612328181085
122150,-0.81,-9.83,5.51,-0.6,-0.0,0.06,-6.47,-19.82,-7.94,11.298013099656062
122157,-0.58,-9.78,5.35,-0.58,-0.01,-0.02,-6.26,-19.86,-8.04,11.162763994638604
122164,-0.41,-9.46,5.13,-0.51,-0.0,-0.11,-6.84,-19.82,-4.24,10.76924324175102
122171,-0.05,-9.14,5.1,-0.4,0.01,-0.17,-8.18,-18.2,-11.2,10.466713906475135
122178,0.17,-8.41,5.09,-0.4,0.01,-0.17,-7.03,-19.8,-7.64,9.831841129717262
122185,0.4,-8.0,5.06,-0.32,0.04,-0.23,-6.97,-19.35,-7.67,9.47436541410558
122192,0.55,-7.25,4.97,-0.3,0.06,-0.27,-7.1,-18.96,-7.92,8.807150503993899
122199,0.81,-7.03,5.04,-0.32,0.06,-0.25,-6.96,-19.38,-7.83,8.687842079596061
122206,0.88,-6.4,5.16,-0.32,0.06,-0.25,-6.87,-19.47,-7.0,8.268010643437757
122213,0.77,-6.05,5.24,-0.33,0.07,-0.2,-7.92,-17.35,-2.16,8.04070892396933
122220,0.73,-5.43,5.49,-0.34,0.08,-0.15,-7.1,-19.2,-6.97,7.756152396646161
122227,0.62,-5.14,5.56,-0.38,0.08,-0.11,-6.96,-19.42,-6.78,7.597210014209163
122234,0.46,-4.76,5.75,-0.38,0.08,-0.11,-6.87,-19.5,-6.55,7.478749895537355
122241,0.06,-4.63,5.76,-0.48,0.09,-0.08,-6.62,-19.6,-6.05,7.390405942842382
122248,-0.14,-4.59,5.53,-0.62,0.09,-0.08,-7.09,-19.29,-5.7,7.188087367304323
122255,-0.46,-4.84,5.33,-0.83,0.09,-0.12,-7.16,-19.38,-5.38,7.214298302676428
122262,-0.61,-5.72,4.87,-0.83,0.09,-0.12,-7.51,-18.06,-0.16,7.53706839560316
122269,-0.69,-6.25,4.69,-1.05,0.06,-0.21,-8.01,-17.38,-4.87,7.844405649888333
122276,-0.63,-7.4,4.44,-1.22,0.03,-0.3,-7.32,-19.15,-4.33,8.6527741216329
122283,-0.32,-7.94,4.3,-1.31,0.0,-0.37,-7.72,-18.96,-4.06,9.035264246274153
122290,-0.17,-8.99,4.01,-1.31,0.0,-0.37,-7.69,-18.43,-2.88,9.845257741674414
122297,0.19,-9.35,3.9,-1.34,-0.02,-0.4,-8.08,-18.43,-2.6,10.132551504927076
122304,0.4,-9.9,3.7,-1.3,-0.04,-0.41,-7.82,-17.93,0.29,10.576388797694609
122311,0.77,-10.06,3.65,-1.22,-0.06,-0.38,-8.68,-15.9,1.71,10.729352263766906
122318,0.93,-10.05,3.64,-1.22,-0.06,-0.38,-7.88,-17.38,-1.2,10.729259061090843
122325,1.14,-9.91,3.71,-1.09,-0.08,-0.33,-8.42,-17.98,-0.38,10.642922530959249
122332,1.2,-9.73,3.87,-0.95,-0.1,-0.25,-8.33,-17.76,0.77,10.539914610659803
122339,1.25,-9.13,3.95,-0.85,-0.1,-0.19,-8.43,-18.31,1.05,10.02606104110682
122346,1.24,-8.85,4.22,-0.85,-0.1,-0.19,-8.48,-18.25,1.21,9.882737475011668
122353,1.19,-8.21,4.39,-0.79,-0.1,-0.16,-8.29,-18.12,1.02,9.38574983685374
122360,1.2,-7.92,4.64,-0.77,-0.09,-0.16,-9.05,-16.57,6.78,9.257213403611262
122367,1.14,-7.53,4.7,-0.83,-0.08,-0.16,-9.32,-18.2,2.32,8.94932958382917
122374,1.12,-7.48,4.66,-0.83,-0.08,-0.16,-9.08,-18.36,1.67,8.883715438936571
122381,1.19,-7.54,4.59,-0.93,-0.08,-0.13,-9.0,-18.31,2.03,8.90706461186849
122388,1.23,-7.65,4.41,-1.04,-0.09,-0.07,-9.03,-18.56,2.12,8.915351927994767
122395,1.28,-8.06,4.27,-1.13,-0.09,-0.0,-8.97,-18.59,3.73,9.210586300556551
122402,1.3,-8.19,3.89,-1.13,-0.09,-0.0,-8.81,-17.71,7.85,9.159596060962514
122409,1.19,-8.58,3.75,-1.2,-0.09,0.05,-9.98,-16.31,4.53,9.439014779096386
122416,1.11,-8.73,3.54,-1.24,-0.07,0.09,-8.77,-17.92,4.43,9.485599612043512
122423,0.9,-9.05,3.52,-1.24,-0.06,0.11,-9.31,-18.05,4.79,9.752071574798864
122430,0.84,-9.06,3.47,-1.24,-0.06,0.11,-8.64,-17.7,4.98,9.738074758390388
122437,0.66,-8.96,3.5,-1.19,-0.04,0.13,-8.83,-18.21,5.95,9.641950010241704
122444,0.54,-8.8,3.7,-1.12,-0.01,0.12,-8.49,-18.18,6.46,9.561464322999903
122451,0.34,-8.25,3.72,-1.06,0.02,0.08,-8.46,-18.61,7.57,9.056296152401378
122458,0.21,-8.0,3.68,-1.06,0.02,0.08,-9.51,-16.71,12.51,8.808319930611058
122465,0.09,-7.44,3.56,-1.06,0.04,0.03,-8.74,-18.28,8.51,8.248351350421489
122472,0.05,-7.17,3.47,-1.08,0.04,0.01,-8.89,-18.06,9.34,7.965695198788364
122479,0.01,-6.74,3.43,-1.12,0.03,0.01,-8.67,-18.02,9.25,7.562578925207989
122486,0.06,-6.7,3.38,-1.12,0.03,0.01,-8.45,-18.37,9.32,7.504531964086768
122493,0.16,-6.93,3.33,-1.24,0.02,-0.0,-8.59,-18.14,9.35,7.690214561376035
122500,0.27,-7.18,3.14,-1.41,0.0,-0.01,-8.99,-18.18,10.14,7.841230770740012
122507,0.49,-7.88,2.89,-1.57,-0.01,-0.02,-9.15,-17.35,11.06,8.407532337136741
122514,0.58,-8.27,2.33,-1.57,-0.01,-0.02,-8.56,-17.95,12.07,8.61151554605808
122521,0.65,-9.04,1.95,-1.7,-0.01,-0.0,-8.62,-18.11,12.47,9.27073891337686
122528,0.63,-9.37,1.27,-1.76,-0.01,0.03,-9.06,-17.96,13.26,9.476639699809208
122535,0.46,-9.88,0.95,-1.72,-0.01,0.07,-8.59,-17.85,13.56,9.93622161588599
122542,0.32,-10.05,0.66,-1.72,-0.01,0.07,-8.37,-18.52,14.97,10.07673062059317
122549,0.18,-10.26,0.76,-1.6,-0.01,0.07,-8.4,-18.69,16.87,10.289684154530692
122556,0.23,-10.07,1.25,-1.42,-0.02,0.04,-9.13,-16.35,20.65,10.149891625037188
122563,0.41,-9.26,1.57,-1.24,-0.03,-0.04,-8.67,-18.87,17.01,9.401095680823593
122570,0.48,-8.56,1.81,-1.24,-0.03,-0.04,-8.71,-18.55,18.02,8.762425463306379
122577,0.56,-7.38,1.55,-1.19,-0.05,-0.1,-8.81,-19.09,18.09,7.561778891239812
122584,0.6,-7.03,0.01,-1.35,-0.09,-0.07,-8.83,-18.68,18.8,7.055565179346018
122591,0.9,-7.34,-1.11,-1.67,-0.13,0.05,-8.71,-19.16,19.39,7.477813851654774
122598,1.12,-7.72,-3.0,-1.67,-0.13,0.05,-9.08,-18.99,19.96,8.357798753260335
122605,1.18,-9.1,-3.89,-1.99,-0.12,0.17,-9.15,-17.76,24.86,9.966669453734282
122612,1.25,-10.21,-5.21,-2.24,-0.09,0.22,-9.06,-19.89,21.03,11.530424970485694
122619,0.87,-12.47,-5.53,-2.33,-0.04,0.17,-9.06,-19.54,22.16,13.668895346735232
122626,0.54,-13.68,-5.75,-2.33,-0.04,0.17,-8.67,-19.95,22.79,14.849124553319632
122633,0.04,-16.24,-5.63,-2.25,0.0,0.06,-8.8,-19.92,23.44,17.188254710702886
122640,-0.06,-17.26,-5.32,-1.99,0.02,-0.06,-8.9,-19.76,24.38,18.061384221592764
122647,-0.04,-18.61,-5.09,-1.57,0.02,-0.15,-8.8,-20.21,28.5,19.293568876700856
122654,0.1,-18.77,-4.78,-1.57,0.02,-0.15,-9.56,-18.61,28.24,19.36933917303324
122661,0.55,-17.92,-4.68,-1.05,0.01,-0.18,-8.74,-20.56,25.43,18.529201277982818
122668,0.72,-17.03,-4.16,-0.51,0.01,-0.13,-8.73,-21.08,25.83,17.545509396993864
122675,0.99,-14.92,-3.81,-0.08,0.01,-0.03,-8.87,-20.9,26.07,15.430573547344247
122682,1.0,-13.86,-3.04,-0.08,0.01,-0.03,-9.25,-21.29,25.49,14.224668713189772
122689,0.91,-12.16,-2.67,0.16,0.03,0.06,-9.32,-20.96,26.21,12.482892293054524
122696,0.84,-11.47,-2.09,0.2,0.03,0.1,-8.96,-21.22,25.94,11.689080374434935
122703,0.71,-10.49,-1.89,0.13,0.03,0.12,-9.7,-19.95,26.0,10.682523110202007
122710,0.67,-10.21,-1.79,0.13,0.03,0.12,-9.05,-21.53,24.7,10.3873528870449
122717,0.56,-10.19,-1.88,-0.02,0.01,0.15,-8.96,-21.51,24.77,10.377094969209832
122724,0.57,-10.51,-2.04,-0.21,-0.01,0.19,-8.86,-21.15,25.23,10.72131521782659
122731,0.7,-11.46,-2.55,-0.33,-0.01,0.22,-9.08,-21.09,24.98,11.76112664671204
122738,0.64,-12.06,-2.73,-0.33,-0.01,0.22,-8.87,-21.06,25.29,12.381684053471886
122745,0.48,-12.71,-3.1,-0.35,0.01,0.22,-9.11,-19.83,29.06,13.091390300499029
122752,0.34,-12.91,-3.18,-0.25,0.03,0.2,-9.75,-19.79,30.84,13.300229321331267
122759,0.03,-12.95,-3.26,-0.1,0.05,0.16,-8.39,-20.97,25.05,13.354063052120129
122766,-0.06,-12.8,-3.2,-0.1,0.05,0.16,-8.39,-21.16,25.46,13.194074427560276
122773,-0.04,-12.15,-3.03,0.09,0.05,0.13,-8.26,-21.09,25.94,12.52218032133382
122780,-0.01,-11.8,-2.86,0.27,0.04,0.11,-7.95,-21.32,26.0,12.141651452747274
122787,0.02,-10.92,-2.43,0.41,0.04,0.08,-7.66,-21.27,25.2,11.18712206065528
122794,0.05,-10.44,-2.18,0.41,0.04,0.08,-8.14,-21.25,26.76,10.6652941825343
