timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,acceleration_magnitude
9738,0.1,-5.17,8.32,-1.04,-0.08,0.05,9.795983870954464
9744,0.13,-5.17,8.28,-1.05,-0.09,0.06,9.762387003187284
9750,0.13,-5.17,8.24,-1.05,-0.09,0.06,9.728483951777893
9756,0.09,-5.19,8.24,-1.06,-0.09,0.06,9.738675474621793
9762,0.05,-5.32,8.19,-1.09,-0.08,0.04,9.766319675292223
9768,0.05,-5.32,8.19,-1.09,-0.08,0.04,9.766319675292223
9774,0.04,-5.61,8.11,-1.12,-0.08,0.03,9.861328510905617
9780,0.09,-5.99,7.9,-1.14,-0.08,0.03,9.91454487104678
9786,0.09,-5.99,7.9,-1.14,-0.08,0.03,9.91454487104678
9792,0.1,-6.3,7.58,-1.13,-0.08,0.05,9.85679461082557
9798,0.09,-6.37,7.26,-1.07,-0.09,0.08,9.658809450444707
9804,0.09,-6.37,7.26,-1.07,-0.09,0.08,9.658809450444707
