timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude
0,2.83,-0.84,9.31,-0.22,-0.24,-0.66,1.07,0.07,-84.13,9.766811147964315
7,2.99,-0.85,9.4,-0.22,-0.24,-0.66,1.58,-1.55,-88.1,9.900636343185221
14,3.25,-0.75,9.8,-0.08,-0.18,-0.61,1.52,-1.39,-87.46,10.352052936495255
21,3.31,-0.63,10.03,0.05,-0.11,-0.53,1.87,-1.58,-88.07,10.580826999814333
28,3.42,-0.19,10.4,0.12,-0.03,-0.43,1.83,-1.7,-88.44,10.949543369474364
35,3.4,0.07,10.5,0.12,-0.03,-0.43,1.78,-1.96,-88.41,11.036978753263956
42,3.3,0.43,10.46,0.13,0.05,-0.31,1.48,-0.88,-84.32,10.97663427467637
49,3.22,0.53,10.38,0.07,0.13,-0.16,0.31,-0.5,-88.91,10.880886912379891
56,2.97,0.67,10.05,0.01,0.21,0.03,1.77,-1.46,-88.53,10.50106185107011
63,2.77,0.84,9.89,0.01,0.21,0.03,1.48,-1.74,-88.61,10.30488233799882
70,2.25,1.22,9.66,-0.01,0.29,0.23,2.06,-1.34,-89.61,9.993322770730463
77,1.96,1.42,9.57,-0.0,0.35,0.43,2.12,-1.13,-88.15,9.871317034722368
84,1.25,2.01,9.51,-0.0,0.4,0.61,2.48,-1.1,-87.07,9.800137754133868
91,0.87,2.28,9.51,-0.0,0.4,0.61,1.84,0.75,-85.37,9.818115908869684
98,0.04,2.67,9.61,-0.03,0.44,0.78,2.66,-1.59,-88.23,9.97409645030566
105,-0.39,2.87,9.68,-0.07,0.46,0.93,2.95,-1.33,-87.47,10.104028899404435
112,-1.25,3.13,9.81,-0.13,0.46,1.04,2.78,-1.48,-88.02,10.372825073238245
119,-1.62,3.21,9.86,-0.13,0.46,1.04,2.75,-1.14,-87.64,10.495146497310078
126,-2.29,3.28,9.81,-0.2,0.44,1.1,3.03,-1.46,-87.39,10.594272037285053
133,-2.58,3.28,9.75,-0.29,0.4,1.09,3.08,-1.3,-87.75,10.605531575550563
140,-3.2,2.97,9.66,-0.41,0.34,1.02,3.0,-0.13,-83.47,10.600778273315598
147,-3.47,2.75,9.68,-0.41,0.34,1.02,2.34,-1.46,-88.37,10.644519716736871
154,-4.04,2.26,9.78,-0.52,0.24,0.9,2.97,-1.23,-88.69,10.82024029308037
161,-4.25,1.99,9.88,-0.59,0.13,0.69,2.73,-1.02,-88.61,10.937869993741927
168,-4.75,1.26,10.11,-0.6,0.01,0.4,2.66,-0.72,-88.22,11.24109425278518
175,-5.01,0.73,10.2,-0.6,0.01,0.4,2.76,-0.69,-88.94,11.387405323426403
182,-5.31,-0.08,10.43,-0.58,-0.13,-0.02,2.56,-0.18,-84.14,11.70416165301898
189,-5.33,-0.26,10.52,-0.52,-0.29,-0.57,2.05,1.87,-85.52,11.796054425103335
196,-4.96,-0.33,10.47,-0.42,-0.45,-1.16,3.36,0.64,-88.23,11.590142363232646
203,-4.42,-0.3,10.32,-0.42,-0.45,-1.16,2.32,0.45,-88.51,11.230707902888403
210,-2.65,-0.02,9.7,-0.31,-0.6,-1.7,2.19,0.45,-88.35,10.055491037239305
217,-1.66,0.09,9.38,-0.21,-0.71,-2.13,2.03,0.44,-87.59,9.526179716969443
224,0.25,0.11,8.89,-0.14,-0.78,-2.44,2.13,0.19,-87.83,8.894194735893747
231,1.12,0.01,8.75,-0.14,-0.78,-2.44,1.89,0.76,-87.61,8.821394447591606
238,2.5,-0.22,8.61,-0.09,-0.8,-2.6,0.48,1.97,-83.67,8.968305302564136
245,3.24,-0.41,8.58,-0.01,-0.79,-2.63,1.13,0.92,-87.49,9.180528307238097
252,4.25,-0.61,8.64,0.07,-0.73,-2.56,0.69,0.53,-87.88,9.648015339954638
259,4.75,-0.66,8.75,0.07,-0.73,-2.56,0.69,1.08,-88.09,9.97800581278644
266,5.54,-0.89,9.15,0.15,-0.65,-2.41,0.13,1.32,-88.56,10.733415113560083
273,5.94,-0.98,9.35,0.19,-0.56,-2.17,0.07,0.95,-88.48,11.12054405143921
280,6.63,-1.03,9.71,0.22,-0.44,-1.78,-0.2,1.45,-84.46,11.802622589916194
287,6.82,-1.02,9.86,0.22,-0.44,-1.78,-1.04,2.46,-88.18,12.032140291735299
294,7.02,-0.79,10.05,0.25,-0.29,-1.32,-0.19,0.8,-89.2,12.284421028278052
301,6.93,-0.49,10.1,0.28,-0.13,-0.78,-0.64,0.61,-88.78,12.258670400985581
308,6.28,0.5,10.16,0.3,0.04,-0.17,-0.35,0.83,-88.86,11.954664361662354
315,5.79,1.04,10.14,0.3,0.04,-0.17,-0.66,0.44,-88.25,11.722853748128054
322,4.76,1.77,10.02,0.27,0.2,0.48,-0.28,0.42,-88.32,11.233472303789242
329,4.21,2.14,9.94,0.2,0.33,1.08,-0.29,0.01,-86.79,11.004876191943278
336,3.17,2.46,9.8,0.11,0.43,1.58,-0.82,1.81,-86.45,10.589641164836513
343,2.66,2.58,9.73,0.11,0.43,1.58,0.13,0.16,-88.31,10.41176738118942
350,1.71,2.71,9.6,0.03,0.49,1.93,0.48,-0.54,-88.53,10.120681795215182
357,1.24,2.68,9.58,-0.03,0.54,2.11,0.76,-0.22,-88.21,10.024789274593257
364,0.38,2.61,9.58,-0.07,0.55,2.18,0.12,-0.06,-88.37,9.936443025549938
371,0.06,2.49,9.59,-0.07,0.55,2.18,0.54,0.09,-89.35,9.908168347378842
378,-0.63,2.53,9.64,-0.09,0.55,2.17,0.92,-0.53,-88.95,9.986360698472692
385,-0.98,2.41,9.66,-0.12,0.52,2.08,0.83,1.61,-87.81,10.00420411627032
392,-1.57,2.15,9.75,-0.15,0.48,1.88,0.94,-0.31,-89.75,10.106923369651122
399,-1.83,1.82,9.79,-0.15,0.48,1.88,1.62,0.39,-89.61,10.124495049137018
406,-2.24,0.99,9.78,-0.19,0.42,1.6,1.68,0.28,-89.75,10.08196905371168
413,-2.43,0.53,9.77,-0.2,0.35,1.26,2.15,0.47,-89.75,10.08160205522912
420,-2.67,-0.3,9.75,-0.18,0.27,0.87,2.34,0.04,-88.75,10.113426718971173
427,-2.74,-0.62,9.77,-0.18,0.27,0.87,2.25,0.25,-83.91,10.16586936764387
434,-2.74,-1.11,9.74,-0.13,0.18,0.48,1.24,1.68,-87.05,10.1787671159134
441,-2.63,-1.18,9.72,-0.06,0.09,0.1,2.12,0.44,-87.78,10.138426899672355
448,-2.19,-0.96,9.61,0.04,-0.0,-0.21,2.19,0.91,-87.52,9.9030197414728
455,-1.89,-0.82,9.59,0.04,-0.0,-0.21,2.0,0.66,-87.47,9.808802169480227
462,-1.2,-0.43,9.63,0.14,-0.09,-0.41,2.16,-0.03,-86.89,9.714000205888407
469,-0.89,-0.19,9.74,0.25,-0.14,-0.49,2.0,-0.03,-87.08,9.782423012730538
476,-0.29,0.35,10.04,0.33,-0.18,-0.52,2.35,0.15,-87.47,10.05028357808873
483,0.0,0.63,10.15,0.33,-0.18,-0.52,1.17,1.61,-83.56,10.169532929294245
490,0.51,1.11,10.28,0.37,-0.2,-0.5,1.64,-0.39,-87.83,10.35232341071317
497,0.72,1.27,10.32,0.36,-0.21,-0.46,1.65,-0.35,-88.44,10.42274915749199
504,1.09,1.58,10.26,0.32,-0.2,-0.43,1.86,-0.69,-88.07,10.438012262878408
511,1.25,1.72,10.18,0.32,-0.2,-0.43,1.59,-0.35,-88.02,10.399677879626848
518,1.47,1.97,9.93,0.26,-0.18,-0.4,1.3,-0.75,-88.34,10.229696965208696
525,1.57,2.03,9.8,0.2,-0.16,-0.36,1.46,0.57,-84.14,10.130439279715368
532,1.64,2.11,9.56,0.15,-0.13,-0.31,0.72,0.89,-88.04,9.926494849643554
539,1.69,2.11,9.47,0.15,-0.13,-0.31,1.51,-0.09,-88.44,9.848304422589708
546,1.67,1.96,9.37,0.11,-0.09,-0.21,1.3,-0.58,-88.19,9.717376189074908
553,1.65,1.86,9.36,0.08,-0.06,-0.09,1.59,-0.73,-87.87,9.684611504856557
560,1.56,1.58,9.48,0.08,-0.03,0.03,1.39,-0.77,-87.77,9.73654969688955
567,1.5,1.44,9.57,0.08,-0.03,0.03,0.92,-0.66,-87.65,9.793288518163855
574,1.36,1.08,9.76,0.06,-0.0,0.14,1.67,-1.14,-85.21,9.913304191842395
581,1.26,0.91,9.84,0.04,0.02,0.21,0.92,0.72,-84.71,9.961992772533014
588,1.05,0.55,9.95,0.01,0.04,0.25,1.18,-1.14,-88.19,10.020354285153793
595,0.98,0.39,9.97,0.01,0.04,0.25,1.65,-0.96,-88.04,10.025637136860679
602,0.81,0.11,9.94,-0.0,0.05,0.27,1.4,-1.37,-88.63,9.97355503318651
609,0.71,-0.0,9.91,0.0,0.05,0.25,1.51,-1.04,-88.56,9.935401350725597
616,0.59,-0.09,9.82,0.03,0.05,0.21,1.11,-1.36,-89.4,9.838119739055832
623,0.49,-0.04,9.79,0.03,0.05,0.21,1.24,0.95,-84.14,9.802336456172068
630,0.3,0.19,9.73,0.07,0.05,0.17,0.96,-0.04,-89.61,9.736477802573168
637,0.22,0.35,9.73,0.11,0.04,0.15,1.75,-0.06,-89.87,9.738778157448706
