timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,acceleration_magnitude
0,3.82,-2.73,8.68,0.0,0.01,0.02,9.868520659146435
6,3.83,-2.63,8.67,0.0,0.0,0.01,9.83639669797838
12,3.83,-2.63,8.67,0.0,0.0,0.01,9.83639669797838
18,3.89,-2.58,8.64,0.0,0.0,0.0,9.820290219744017
24,3.97,-2.58,8.6,-0.0,-0.0,-0.0,9.817194100148983
30,3.97,-2.58,8.6,-0.0,-0.0,-0.0,9.817194100148983
36,4.06,-2.66,8.6,-0.01,-0.0,0.0,9.87518101099924
42,4.13,-2.75,8.63,-0.01,-0.0,0.0,9.954712451899352
48,4.13,-2.75,8.63,-0.0,-0.0,0.0,9.954712451899352
54,4.19,-2.79,8.67,0.0,-0.0,0.0,10.025422684356005
60,4.19,-2.79,8.67,0.0,-0.0,0.0,10.025422684356005
66,4.23,-2.75,8.69,0.0,0.0,0.0,10.048457593083628
72,4.2,-2.7,8.7,-0.0,0.01,0.01,10.030952098380292
78,4.2,-2.7,8.7,-0.0,0.01,0.01,10.030952098380292
84,4.17,-2.68,8.7,-0.0,0.01,0.02,10.013056476421172
90,4.12,-2.7,8.71,-0.01,0.01,0.04,10.006422937293827
96,4.12,-2.7,8.71,-0.01,0.01,0.04,10.006422937293827
102,4.04,-2.76,8.71,-0.02,0.01,0.05,9.990160158876334
108,3.99,-2.85,8.7,-0.02,0.01,0.06,9.986621050185091
114,3.99,-2.85,8.7,-0.02,0.01,0.06,9.986621050185091
120,3.94,-2.87,8.73,-0.01,0.01,0.06,9.998669911543235
126,3.93,-2.83,8.76,-0.01,0.01,0.06,10.009565425132102
132,3.93,-2.83,8.76,-0.01,0.01,0.05,10.009565425132102
138,3.97,-2.79,8.78,-0.01,0.02,0.04,10.031620008752325
144,3.97,-2.79,8.78,-0.01,0.02,0.04,10.031620008752325
150,4.03,-2.75,8.74,-0.01,0.02,0.03,10.009545444224727
156,4.03,-2.72,8.67,-0.02,0.03,0.02,9.940231385636855
162,4.03,-2.72,8.67,-0.02,0.03,0.02,9.940231385636855
168,4.03,-2.73,8.61,-0.02,0.03,0.02,9.89069764981217
174,3.99,-2.79,8.59,-0.02,0.03,0.03,9.873818916711
180,3.99,-2.79,8.59,-0.02,0.03,0.03,9.873818916711
186,3.93,-2.83,8.63,-0.01,0.03,0.03,9.895994139044344
192,3.87,-2.82,8.7,0.0,0.03,0.02,9.930725049058603
198,3.87,-2.82,8.7,0.0,0.03,0.02,9.930725049058603
204,3.89,-2.88,8.8,0.0,0.03,0.01,10.04323155164711
210,3.92,-2.92,8.88,0.0,0.03,0.01,10.136429351601086
216,3.92,-2.92,8.88,0.0,0.03,0.0,10.136429351601086
222,3.97,-2.93,8.97,0.01,0.04,-0.01,10.237514346754294
228,3.97,-2.93,8.97,0.01,0.04,-0.01,10.237514346754294
234,4.03,-2.94,9.04,0.01,0.05,-0.03,10.325023002395683
240,4.11,-2.87,9.05,0.01,0.06,-0.05,10.345602930714092
246,4.11,-2.87,9.05,0.01,0.06,-0.05,10.345602930714092
252,4.17,-2.73,8.99,0.0,0.07,-0.07,10.279197439489135
258,4.21,-2.64,8.89,-0.01,0.08,-0.08,10.184586393172774
264,4.21,-2.64,8.89,-0.01,0.08,-0.08,10.184586393172774
270,4.27,-2.64,8.79,-0.01,0.09,-0.08,10.122578722835401
276,4.32,-2.72,8.67,-0.02,0.1,-0.06,10.061297133073847
282,4.32,-2.72,8.67,-0.02,0.1,-0.06,10.061297133073847
288,4.31,-2.8,8.58,-0.02,0.1,-0.06,10.0016248679902
294,4.3,-2.87,8.52,-0.02,0.1,-0.06,9.965806540365913
300,4.3,-2.87,8.52,-0.02,0.11,-0.06,9.965806540365913
306,4.29,-3.0,8.48,-0.01,0.11,-0.07,9.965666059024857
312,4.29,-3.0,8.48,-0.01,0.11,-0.07,9.965666059024857
318,4.23,-3.14,8.46,0.0,0.12,-0.08,9.966147701092936
324,4.22,-3.18,8.53,0.03,0.13,-0.1,10.03402710779675
330,4.22,-3.18,8.53,0.03,0.13,-0.1,10.03402710779675
336,4.24,-3.19,8.61,0.05,0.14,-0.11,10.113644249230838
342,4.27,-3.2,8.7,0.07,0.15,-0.11,10.20602273170112
348,4.27,-3.2,8.7,0.07,0.15,-0.11,10.20602273170112
354,4.32,-3.13,8.75,0.09,0.16,-0.11,10.248014441832135
360,4.43,-3.05,8.8,0.1,0.17,-0.11,10.313457228301283
366,4.43,-3.05,8.8,0.1,0.17,-0.11,10.313457228301283
372,4.54,-3.02,8.79,0.11,0.18,-0.1,10.34389191745544
378,4.61,-2.94,8.71,0.11,0.18,-0.1,10.283958381868338
384,4.61,-2.94,8.71,0.11,0.2,-0.09,10.283958381868338
390,4.63,-2.75,8.57,0.13,0.22,-0.08,10.121477164920147
396,4.63,-2.75,8.57,0.13,0.22,-0.08,10.121477164920147
402,4.62,-2.58,8.45,0.14,0.25,-0.08,9.97012036035674
408,4.6,-2.6,8.37,0.12,0.28,-0.08,9.898328141661095
414,4.6,-2.6,8.37,0.12,0.28,-0.08,9.898328141661095
420,4.58,-2.78,8.31,0.11,0.3,-0.07,9.887411187970288
426,4.52,-3.01,8.24,0.12,0.33,-0.04,9.868540925587734
432,4.52,-3.01,8.24,0.12,0.33,-0.04,9.868540925587734
438,4.36,-3.04,8.25,0.17,0.35,-0.02,9.81395435082108
444,4.12,-2.88,8.38,0.22,0.37,-0.01,9.772062218385637
