timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z,acceleration_magnitude
66801,-1.94,-5.86,6.95,-0.69,0.14,-0.09,-10.83,-39.58,-6.75,9.295466637022589
66808,-1.78,-5.68,6.78,-0.68,0.14,-0.09,-11.14,-38.97,-6.37,9.022150519693184
66815,-1.56,-5.61,6.76,-0.67,0.15,-0.09,-10.92,-39.14,-6.02,8.922068145895322
66822,-1.52,-5.63,6.84,-0.67,0.15,-0.09,-10.87,-39.11,-3.89,8.988487080704962
66829,-1.59,-5.75,6.91,-0.72,0.18,-0.09,-11.62,-37.49,-1.4,9.12900323145961
66836,-1.68,-5.94,7.06,-0.79,0.21,-0.09,-10.74,-39.32,-4.62,9.37814480587712
66843,-1.79,-6.06,7.11,-0.84,0.23,-0.08,-11.03,-38.86,-4.47,9.512087047541144
66850,-1.86,-6.16,7.09,-0.84,0.23,-0.08,-10.48,-39.14,-3.79,9.574617485832006
66857,-1.87,-6.18,7.07,-0.87,0.24,-0.07,-10.83,-38.86,-2.53,9.574664484983272
66864,-1.85,-6.13,6.87,-0.89,0.25,-0.09,-11.01,-38.94,-2.84,9.391288516492292
66871,-1.67,-6.09,6.77,-0.91,0.24,-0.1,-11.11,-38.67,-2.67,9.257964139053469
66878,-1.57,-5.92,6.49,-0.91,0.24,-0.1,-11.15,-36.67,1.37,8.923642753943033
66885,-1.29,-5.83,6.36,-0.92,0.23,-0.1,-11.49,-38.44,-2.72,8.72368041597123
66892,-1.12,-5.68,6.05,-0.92,0.23,-0.09,-10.61,-38.85,-2.75,8.37372676888851
66899,-0.7,-5.62,5.92,-0.92,0.24,-0.06,-10.77,-38.26,-1.53,8.192728483234387
66906,-0.49,-5.33,5.71,-0.92,0.24,-0.06,-10.67,-37.68,-0.91,7.826435970478517
66913,-0.16,-5.19,5.65,-0.89,0.27,-0.01,-10.67,-37.52,-0.6,7.673604107588559
66920,-0.03,-4.84,5.5,-0.86,0.32,0.05,-10.38,-36.79,2.63,7.326424776110105
66927,0.07,-4.6,5.43,-0.84,0.4,0.12,-10.27,-37.02,0.22,7.116867288350964
66934,0.03,-4.12,5.34,-0.84,0.4,0.12,-10.04,-37.04,1.04,6.7446942110076415
66941,-0.23,-3.98,5.29,-0.84,0.49,0.18,-10.03,-37.78,0.96,6.624001811593955
66948,-0.46,-3.93,5.25,-0.9,0.57,0.23,-9.91,-36.99,2.24,6.574115910143355
66955,-1.01,-4.0,5.3,-0.99,0.65,0.29,-10.01,-37.18,2.92,6.716405288545354
66962,-1.27,-4.1,5.3,-0.99,0.65,0.29,-9.47,-37.28,2.65,6.820036656792983
66969,-1.83,-4.09,5.32,-1.05,0.71,0.36,-9.5,-36.36,3.17,6.955530173897602
66976,-2.13,-4.09,5.36,-1.09,0.76,0.42,-9.95,-35.55,8.07,7.070685963893461
66983,-2.55,-4.15,5.38,-1.14,0.78,0.48,-9.95,-34.87,8.67,7.257368669152752
66990,-2.74,-4.35,5.32,-1.14,0.78,0.48,-9.06,-36.31,4.94,7.398141658551829
66997,-2.97,-4.54,5.23,-1.24,0.79,0.49,-8.62,-36.35,5.0,7.535608800886628
67004,-3.1,-4.8,5.2,-1.38,0.8,0.44,-8.48,-36.76,5.1,7.725930364687478
67011,-3.29,-5.39,5.23,-1.54,0.79,0.31,-8.1,-36.66,6.26,8.199335338916198
67018,-3.33,-5.67,5.33,-1.54,0.79,0.31,-8.8,-36.44,11.62,8.464437370552162
67025,-3.34,-6.18,5.37,-1.67,0.77,0.18,-8.87,-35.53,7.83,8.842222571276976
67032,-3.33,-6.45,5.38,-1.79,0.76,0.09,-8.64,-35.71,8.74,9.035253178522447
67039,-3.21,-6.9,5.3,-1.88,0.74,0.07,-7.85,-35.52,9.78,9.27383955004614
67046,-3.03,-7.12,5.17,-1.88,0.74,0.07,-7.86,-35.3,10.54,9.30613775956492
67053,-2.78,-7.48,5.14,-1.94,0.74,0.12,-7.47,-35.34,10.99,9.492017699098543
67060,-2.4,-7.66,4.96,-1.96,0.75,0.18,-8.01,-35.17,12.03,9.43595252213575
67067,-2.59,-7.45,4.71,-1.98,0.79,0.24,-7.78,-35.25,14.5,9.186658805028085
67074,-2.72,-7.27,4.08,-1.98,0.79,0.24,-8.08,-33.48,18.31,8.769133366530582
67081,-2.82,-7.35,3.68,-2.07,0.84,0.23,-7.41,-34.84,14.59,8.690069044604881
67088,-3.04,-7.33,2.89,-2.22,0.85,0.2,-6.94,-35.03,15.01,8.445270865993583
67095,-3.62,-7.33,2.55,-2.36,0.85,0.17,-7.16,-35.27,15.87,8.563632406870347
67102,-3.88,-7.56,1.89,-2.36,0.85,0.17,-7.48,-34.7,17.6,8.705176620838891
67109,-4.29,-8.32,1.44,-2.53,0.84,0.16,-7.23,-34.8,18.39,9.47101367330868
67116,-4.46,-8.83,0.32,-2.74,0.81,0.1,-7.38,-35.0,18.36,9.897620926263038
67123,-4.56,-9.94,-0.3,-2.89,0.78,-0.01,-7.37,-36.51,20.53,10.940164532583593
67130,-4.47,-10.49,-1.42,-2.89,0.78,-0.01,-7.38,-34.38,21.63,11.490752803885393
67137,-4.2,-11.59,-1.88,-2.92,0.76,-0.11,-7.4,-33.92,22.74,12.470064153804502
67144,-3.97,-12.21,-2.58,-2.87,0.76,-0.22,-7.79,-33.56,24.52,13.095854305848093
67151,-3.09,-13.71,-2.93,-2.82,0.76,-0.4,-7.72,-33.73,25.37,14.35608233467613
67158,-2.62,-14.59,-3.71,-2.82,0.76,-0.4,-7.94,-33.25,26.92,15.280595538132667
67165,-1.83,-16.6,-4.15,-2.82,0.75,-0.66,-8.01,-33.54,30.61,17.20846884530986
67172,-1.5,-17.56,-4.87,-2.75,0.73,-0.89,-8.56,-32.51,33.15,18.284433269861005
67179,-0.82,-18.61,-5.08,-2.4,0.69,-0.89,-8.17,-34.62,29.98,19.308311681760262
67186,-0.33,-18.89,-5.32,-2.4,0.69,-0.89,-8.3,-34.29,30.78,19.62761829667573
67193,0.58,-18.94,-5.28,-1.84,0.6,-0.58,-8.52,-34.04,31.45,19.670749858609867
67200,0.83,-18.66,-4.98,-1.19,0.53,-0.02,-8.46,-34.55,31.8,19.33093117260521
67207,0.63,-17.04,-4.65,-0.51,0.51,0.63,-8.4,-34.36,30.96,17.674303380897364
67214,0.25,-15.84,-3.74,-0.51,0.51,0.63,-8.35,-34.08,31.32,16.27745987554569
67221,-0.88,-13.49,-3.19,0.07,0.54,1.13,-8.49,-32.89,35.18,13.889946004214703
67228,-1.45,-12.59,-2.25,0.4,0.61,1.36,-7.29,-34.87,30.47,12.871406294574031
67235,-2.57,-10.68,-1.93,0.53,0.66,1.33,-7.22,-34.71,31.06,11.153125122583356
67242,-3.16,-9.49,-1.37,0.53,0.66,1.33,-7.16,-35.06,30.82,10.095672340166356
67249,-4.08,-7.46,-1.14,0.58,0.68,1.17,-6.52,-35.03,30.85,8.578904358949341
67256,-4.36,-6.85,-0.9,0.44,0.65,0.96,-6.55,-34.29,30.84,8.169583832729792
67263,-4.73,-6.46,-0.85,0.14,0.58,0.75,-6.4,-34.74,35.14,8.051521595325942
67270,-4.75,-6.77,-0.89,0.14,0.58,0.75,-6.56,-32.49,33.54,8.317902379807062
67277,-4.67,-7.7,-0.86,-0.17,0.5,0.56,-6.08,-34.62,31.42,9.046463397372476
67284,-4.56,-8.07,-0.65,-0.35,0.43,0.41,-6.37,-35.14,31.76,9.29198579422074
